date,open,high,low,close,adj-close,volume
1981-10-27,0.000000,3.885014,3.807931,3.854181,1.441754,3155664
1981-10-28,0.000000,3.885014,3.838764,3.854181,1.441754,1704318
1981-10-29,0.000000,3.854181,3.823347,3.823347,1.430220,1115672
1981-10-30,0.000000,3.877306,3.807931,3.877306,1.450405,903240
1981-11-02,0.000000,4.039181,3.992931,4.023765,1.505191,2832963
1981-11-03,0.000000,4.062307,4.008348,4.046890,1.513842,2124317
1981-11-04,0.000000,4.062307,3.992931,4.000640,1.496541,762159
1981-11-05,0.000000,4.008348,3.946681,3.946681,1.476356,1289184
1981-11-06,0.000000,3.915848,3.854181,3.869598,1.447521,5863762
1981-11-09,0.000000,3.962098,3.869598,3.931264,1.470589,1382427
1981-11-10,0.000000,3.992931,3.931264,3.962098,1.482122,1997831
1981-11-11,0.000000,3.977515,3.931264,3.977515,1.487890,476755
1981-11-12,0.000000,3.992931,3.946681,3.962098,1.482122,844862
1981-11-13,0.000000,3.962098,3.915848,3.915848,1.464822,869997
1981-11-16,0.000000,3.915848,3.823347,3.915848,1.464822,1513778
1981-11-17,0.000000,4.054598,3.946681,4.039181,1.510957,895132
1981-11-18,0.000000,4.162515,4.070015,4.070015,1.522491,1568913
1981-11-19,0.000000,4.116265,4.070015,4.100848,1.534027,848105
1981-11-20,0.000000,4.131682,4.070015,4.085432,1.528259,717565
1981-11-23,0.000000,4.100848,3.885014,3.946681,1.476356,3297555
1981-11-24,0.000000,3.931264,3.869598,3.900431,1.459055,5314845
1981-11-25,0.000000,4.054598,3.946681,4.008348,1.499425,1529994
1981-11-27,0.000000,4.085432,4.008348,4.085432,1.528259,346215
1981-11-30,0.000000,4.085432,4.054598,4.070015,1.522491,1332968
1981-12-01,0.000000,4.070015,4.039181,4.070015,1.522491,317026
1981-12-02,0.000000,4.085432,4.023765,4.054598,1.516726,531890
1981-12-03,0.000000,4.070015,4.023765,4.070015,1.522491,778376
1981-12-04,0.000000,4.131682,4.070015,4.100848,1.534027,449998
1981-12-07,0.000000,4.085432,4.008348,4.023765,1.505191,1395400
1981-12-08,0.000000,4.008348,3.915848,3.977515,1.487890,846483
1981-12-09,0.000000,4.070015,3.946681,4.070015,1.522491,442701
1981-12-10,0.000000,4.070015,4.023765,4.039181,1.510957,587025
1981-12-11,0.000000,4.054598,3.992931,4.023765,1.505191,388377
1981-12-14,0.000000,3.962098,3.915848,3.915848,1.464822,421620
1981-12-15,0.000000,3.946681,3.885014,3.915848,1.464822,968105
1981-12-16,0.000000,3.962098,3.915848,3.915848,1.464822,247296
1981-12-17,0.000000,3.946681,3.900431,3.946681,1.476356,814051
1981-12-18,0.000000,4.116265,3.946681,4.054598,1.516726,834321
1981-12-21,0.000000,4.070015,3.931264,3.946681,1.476356,530268
1981-12-22,0.000000,4.039181,3.962098,3.992931,1.493656,912159
1981-12-23,0.000000,4.039181,4.008348,4.023765,1.505191,1238914
1981-12-24,0.000000,4.039181,3.946681,3.977515,1.487890,121621
1981-12-28,0.000000,4.039181,4.008348,4.008348,1.499425,501079
1981-12-29,0.000000,4.054598,4.008348,4.039181,1.510957,247296
1981-12-30,0.000000,4.085432,4.008348,4.054598,1.516726,261080
1981-12-31,4.108557,4.131682,4.085432,4.131682,1.545559,193783
1982-01-04,4.208765,4.255016,4.147099,4.224182,1.580162,901618
1982-01-05,4.131682,4.193349,4.070015,4.070015,1.522491,993240
1982-01-06,3.992931,4.039181,3.931264,3.977515,1.487890,871618
1982-01-07,4.039181,4.116265,3.962098,4.116265,1.539792,746754
1982-01-08,4.162515,4.224182,4.085432,4.100848,1.534027,1457832
1982-01-11,4.023765,4.131682,3.915848,3.931264,1.470589,527836
1982-01-12,3.992931,4.039181,3.931264,4.039181,1.510957,564322
1982-01-13,4.039181,4.100848,3.962098,3.962098,1.482122,811619
1982-01-14,4.023765,4.116265,3.931264,4.054598,1.516726,1208104
1982-01-15,4.116265,4.162515,4.054598,4.116265,1.539792,680268
1982-01-18,4.131682,4.208765,4.054598,4.208765,1.574395,398107
1982-01-19,4.177932,4.239599,4.100848,4.100848,1.534027,780808
1982-01-20,4.085432,4.131682,4.023765,4.116265,1.539792,1374319
1982-01-21,4.131682,4.177932,4.085432,4.116265,1.539792,504322
1982-01-22,4.131682,4.162515,4.100848,4.147099,1.551327,632430
1982-01-25,4.100848,4.147099,4.054598,4.147099,1.551327,1151347
