date,open,high,low,close,adj-close,volume
1986-07-09,10.687500,11.062500,10.562500,11.000000,7.419449,1116800
1986-07-10,11.062500,11.125000,10.687500,10.937500,7.377288,595600
1986-07-11,10.875000,10.937500,10.562500,10.562500,7.124356,800400
1986-07-14,10.625000,10.625000,10.125000,10.250000,6.913574,738000
1986-07-15,10.187500,10.187500,9.312500,9.937500,6.702793,2059200
1986-07-16,9.937500,10.500000,9.937500,10.125000,6.829267,1160400
1986-07-17,10.125000,10.250000,10.000000,10.187500,6.871419,1046000
1986-07-18,10.187500,10.343750,10.000000,10.250000,6.913574,1420000
1986-07-21,10.250000,10.312500,10.187500,10.250000,6.913574,322800
1986-07-22,10.250000,10.281250,10.187500,10.187500,6.871419,390800
1986-07-23,10.250000,10.250000,10.000000,10.062500,6.787107,1004000
1986-07-24,10.062500,10.125000,9.812500,9.937500,6.702793,1071600
1986-07-25,9.937500,10.125000,9.875000,10.062500,6.787107,688400
1986-07-28,10.062500,10.250000,9.968750,10.125000,6.829267,414800
1986-07-29,10.000000,10.187500,10.000000,10.187500,6.871419,278400
1986-07-30,10.062500,10.125000,9.875000,10.125000,6.829267,459200
1986-07-31,10.125000,10.250000,10.000000,10.062500,6.787107,1213600
1986-08-01,10.000000,10.125000,9.750000,9.750000,6.576330,1118000
1986-08-04,9.812500,9.812500,9.531250,9.750000,6.576330,892400
1986-08-05,9.750000,9.750000,9.500000,9.562500,6.449861,868800
1986-08-06,9.562500,9.625000,9.125000,9.125000,6.154771,550400
1986-08-07,9.000000,9.062500,8.125000,8.375000,5.648897,7560000
1986-08-08,8.437500,8.937500,8.375000,8.875000,5.986145,2802000
1986-08-11,9.000000,9.125000,8.875000,9.125000,6.154771,1428000
1986-08-12,9.125000,9.437500,9.125000,9.375000,6.323398,1155200
1986-08-13,9.437500,10.093750,9.375000,9.687500,6.534172,865600
1986-08-14,9.750000,9.812500,9.375000,9.500000,6.407707,762000
1986-08-15,9.500000,9.500000,9.187500,9.375000,6.323398,654400
1986-08-18,9.437500,9.875000,9.250000,9.687500,6.534172,606800
1986-08-19,9.750000,9.750000,9.500000,9.562500,6.449861,2744000
1986-08-20,9.562500,9.562500,9.375000,9.500000,6.407707,500000
1986-08-21,9.500000,9.562500,9.437500,9.437500,6.365551,353200
1986-08-22,9.500000,9.562500,9.375000,9.375000,6.323398,286000
1986-08-25,9.500000,9.500000,9.125000,9.250000,6.239079,766400
1986-08-26,9.187500,9.375000,9.187500,9.375000,6.323398,408800
1986-08-27,9.375000,9.375000,9.187500,9.312500,6.281240,686400
1986-08-28,9.312500,9.312500,9.125000,9.187500,6.196925,286000
1986-08-29,9.125000,9.250000,9.062500,9.125000,6.154771,1128800
1986-09-02,9.187500,9.187500,8.687500,8.750000,5.901832,916800
1986-09-03,8.750000,8.937500,8.687500,8.937500,6.028302,684400
1986-09-04,9.000000,9.312500,8.875000,9.312500,6.281240,576800
1986-09-05,9.312500,9.437500,9.000000,9.000000,6.070457,961600
1986-09-08,9.125000,9.125000,8.625000,8.750000,5.901832,1793200
1986-09-09,8.687500,8.750000,8.500000,8.625000,5.817521,388000
1986-09-10,8.625000,8.625000,8.500000,8.500000,5.733213,802400
1986-09-11,8.562500,8.562500,7.750000,7.937500,5.353806,6240000
1986-09-12,7.875000,7.937500,7.562500,7.625000,5.143027,2066800
1986-09-15,7.625000,7.750000,7.437500,7.625000,5.143027,1746800
1986-09-16,7.562500,7.625000,7.312500,7.437500,5.016559,1547200
1986-09-17,7.500000,7.500000,7.062500,7.375000,4.974405,997600
1986-09-18,7.375000,8.750000,7.375000,8.750000,5.901832,833200
1986-09-19,8.750000,8.750000,8.187500,8.562500,5.775366,928000
1986-09-22,8.562500,8.687500,8.375000,8.500000,5.733213,464000
1986-09-23,8.562500,8.562500,8.062500,8.250000,5.564589,436400
1986-09-24,8.250000,8.562500,8.125000,8.500000,5.733213,649600
1986-09-25,8.500000,8.500000,8.312500,8.312500,5.606743,305600
1986-09-26,8.312500,8.437500,8.250000,8.312500,5.606743,278400
1986-09-29,8.375000,8.375000,8.062500,8.250000,5.564589,724800
1986-09-30,8.187500,8.750000,8.187500,8.562500,5.775366,773200
1986-10-01,8.687500,8.750000,8.562500,8.562500,5.775366,668400
1986-10-02,8.562500,8.625000,8.562500,8.562500,5.775366,592000
1986-10-03,8.625000,8.625000,8.250000,8.375000,5.648897,228000
1986-10-06,8.500000,8.500000,8.312500,8.437500,5.691055,467600
1986-10-07,8.375000,8.500000,8.375000,8.437500,5.691055,176000
1986-10-08,8.500000,8.625000,8.437500,8.625000,5.817521,558800
1986-10-09,8.625000,8.625000,8.375000,8.437500,5.691055,243200
1986-10-10,8.437500,8.437500,8.250000,8.312500,5.606743,238400
1986-10-13,8.375000,8.375000,8.062500,8.062500,5.438118,362800
1986-10-14,8.062500,8.625000,8.062500,8.500000,5.733213,612000
1986-10-15,8.562500,8.812500,8.500000,8.750000,5.901832,606800
1986-10-16,8.750000,8.812500,8.687500,8.687500,5.859677,269200
1986-10-17,8.750000,8.750000,8.437500,8.500000,5.733213,216000
1986-10-20,8.437500,8.500000,8.062500,8.312500,5.606743,595200
1986-10-21,8.312500,8.312500,8.187500,8.187500,5.522430,327200
1986-10-22,8.312500,8.312500,8.187500,8.250000,5.564589,396000
1986-10-23,8.312500,8.312500,8.250000,8.281250,5.585665,1358400
1986-10-24,8.312500,8.375000,8.250000,8.312500,5.606743,809600
1986-10-27,8.375000,8.375000,8.250000,8.312500,5.606743,305200
1986-10-28,8.250000,8.500000,8.250000,8.500000,5.733213,329200
1986-10-29,8.500000,9.000000,8.500000,8.875000,5.986145,835600
1986-10-30,8.875000,9.187500,8.812500,9.062500,6.112613,973200
1986-10-31,9.062500,9.062500,8.875000,9.000000,6.070457,632400
1986-11-03,8.875000,9.062500,8.875000,9.000000,6.070457,408800
1986-11-04,8.937500,9.062500,8.937500,8.937500,6.028302,283200
1986-11-05,9.000000,9.000000,8.875000,8.875000,5.986145,231200
1986-11-06,8.875000,8.937500,8.562500,8.812500,5.943991,434000
1986-11-07,8.812500,8.937500,8.750000,8.781250,5.922912,517200
1986-11-10,8.812500,8.812500,8.625000,8.750000,5.901832,503200
1986-11-11,8.812500,8.937500,8.687500,8.937500,6.028302,142000
1986-11-12,8.937500,9.031250,8.875000,8.968750,6.049380,669600
1986-11-13,8.937500,9.000000,8.375000,8.375000,5.648897,578800
1986-11-14,8.312500,8.437500,8.187500,8.375000,5.648897,806000
1986-11-17,8.375000,8.437500,8.250000,8.375000,5.648897,734400
1986-11-18,8.437500,8.437500,8.187500,8.250000,5.564589,605600
1986-11-19,8.312500,8.375000,8.187500,8.312500,5.606743,495600
1986-11-20,8.312500,8.500000,8.312500,8.500000,5.733213,828400
1986-11-21,8.562500,9.000000,8.500000,8.937500,6.028302,666800
1986-11-24,8.812500,9.250000,8.812500,9.125000,6.154771,715600
1986-11-25,9.000000,9.125000,8.937500,9.000000,6.070457,424000
1986-11-26,8.937500,9.062500,8.937500,9.062500,6.112613,171600
1986-11-28,9.062500,9.062500,8.875000,9.000000,6.070457,236000
1986-12-01,9.000000,9.062500,8.812500,8.875000,5.986145,596000
1986-12-02,8.937500,8.968750,8.843750,8.937500,6.028302,845600
1986-12-03,8.875000,9.062500,8.875000,9.062500,6.112613,1016800
1986-12-04,9.000000,9.187500,8.812500,8.937500,6.028302,643200
1986-12-05,8.875000,8.937500,8.500000,8.562500,5.775366,636400
1986-12-08,8.500000,8.625000,8.312500,8.500000,5.733213,712000
1986-12-09,8.437500,8.562500,8.437500,8.437500,5.691055,302400
1986-12-10,8.500000,8.500000,8.312500,8.375000,5.648897,341200
1986-12-11,8.437500,8.437500,7.937500,8.062500,5.438118,1172000
1986-12-12,8.187500,8.187500,8.062500,8.062500,5.438118,332000
1986-12-15,8.062500,8.625000,8.000000,8.625000,5.817521,768400
1986-12-16,8.562500,8.687500,8.562500,8.687500,5.859677,770000
1986-12-17,8.687500,8.750000,8.500000,8.500000,5.733213,345200
1986-12-18,8.500000,8.625000,8.312500,8.437500,5.691055,349200
1986-12-19,8.437500,8.500000,8.375000,8.375000,5.648897,883600
1986-12-22,8.437500,8.625000,8.375000,8.500000,5.733213,371600
1986-12-23,8.562500,8.625000,8.312500,8.375000,5.648897,282800
1986-12-24,8.375000,8.375000,8.312500,8.312500,5.606743,189200
1986-12-26,8.312500,8.375000,8.250000,8.375000,5.648897,180000
1986-12-29,8.312500,8.375000,8.125000,8.375000,5.648897,462000
1986-12-30,8.312500,8.375000,8.125000,8.187500,5.522430,485200
1986-12-31,8.281250,8.375000,8.187500,8.187500,5.522430,378400
1987-01-02,8.187500,8.375000,8.125000,8.343750,5.627820,363600
1987-01-05,8.375000,9.187500,8.375000,9.125000,6.154771,1222000
1987-01-06,9.125000,9.125000,8.812500,8.875000,5.986145,1120000
1987-01-07,9.000000,9.375000,9.000000,9.375000,6.323398,976800
1987-01-08,9.375000,9.750000,9.312500,9.687500,6.534172,1178800
1987-01-09,9.687500,9.875000,9.625000,9.750000,6.576330,659600
1987-01-12,9.687500,9.750000,9.437500,9.437500,6.365551,1713600
1987-01-13,9.437500,9.437500,9.187500,9.437500,6.365551,1000000
1987-01-14,9.437500,9.500000,9.250000,9.375000,6.323398,1237600
1987-01-15,9.312500,9.375000,8.937500,9.062500,6.112613,2141600
1987-01-16,9.062500,9.062500,8.812500,8.875000,5.986145,722400
1987-01-19,8.875000,9.187500,8.875000,9.125000,6.154771,1030000
1987-01-20,9.187500,9.375000,9.125000,9.312500,6.281240,895200
1987-01-21,9.187500,9.250000,9.000000,9.125000,6.154771,923200
1987-01-22,9.187500,9.375000,9.125000,9.375000,6.323398,372800
1987-01-23,9.375000,9.875000,9.250000,9.437500,6.365551,1741600
1987-01-26,9.500000,9.500000,9.187500,9.250000,6.239079,456800
1987-01-27,9.250000,9.687500,9.250000,9.687500,6.534172,666400
1987-01-28,9.687500,9.937500,9.562500,9.937500,6.702793,937200
1987-01-29,10.000000,10.062500,9.625000,9.687500,6.534172,712000
1987-01-30,9.750000,9.750000,9.437500,9.718750,6.555249,445200
1987-02-02,9.750000,9.812500,9.625000,9.687500,6.534172,483600
1987-02-03,9.687500,9.687500,9.437500,9.437500,6.365551,739200
1987-02-04,9.500000,9.812500,9.437500,9.750000,6.576330,1103600
1987-02-05,9.750000,10.187500,9.687500,10.187500,6.871419,904000
1987-02-06,10.125000,10.250000,9.812500,9.812500,6.618485,1008800
1987-02-09,9.875000,9.875000,9.500000,9.562500,6.449861,663200
1987-02-10,9.687500,9.687500,9.500000,9.562500,6.449861,423600
1987-02-11,9.625000,9.937500,9.625000,9.812500,6.618485,394000
1987-02-12,9.875000,10.625000,9.812500,10.125000,6.829267,1348800
1987-02-13,10.125000,10.312500,9.875000,10.250000,6.913574,1257600
1987-02-17,10.312500,10.625000,10.250000,10.562500,7.124356,1275200
1987-02-18,10.625000,10.937500,10.500000,10.625000,7.166510,1346000
1987-02-19,10.625000,10.875000,10.625000,10.875000,7.335135,432800
1987-02-20,10.750000,10.937500,10.750000,10.812500,7.292981,350000
1987-02-23,10.812500,10.875000,10.687500,10.718750,7.229748,479200
1987-02-24,10.687500,10.750000,10.625000,10.750000,7.250823,934800
1987-02-25,10.750000,11.000000,10.687500,10.968750,7.398370,831600
1987-02-26,11.000000,11.312500,11.000000,11.187500,7.545916,720000
1987-02-27,11.093750,11.187500,10.937500,11.062500,7.461604,314000
1987-03-02,11.062500,11.062500,10.750000,10.875000,7.335135,560400
1987-03-03,10.812500,10.875000,10.687500,10.812500,7.292981,411200
1987-03-04,10.687500,11.125000,10.687500,11.093750,7.482682,508000
1987-03-05,11.125000,11.312500,11.062500,11.187500,7.545916,684400
1987-03-06,11.187500,11.437500,11.125000,11.187500,7.545916,741200
1987-03-09,11.187500,11.250000,11.031250,11.125000,7.503761,481600
1987-03-10,11.125000,11.312500,11.125000,11.250000,7.588070,206000
1987-03-11,11.250000,11.500000,11.250000,11.437500,7.714542,837600
1987-03-12,11.437500,11.437500,11.250000,11.375000,7.672387,597600
1987-03-13,11.375000,12.625000,11.375000,12.125000,8.178254,3545200
1987-03-16,12.187500,12.250000,12.125000,12.187500,8.220409,504000
1987-03-17,12.250000,12.625000,12.187500,12.375000,8.346879,1909600
1987-03-18,12.375000,12.562500,12.375000,12.375000,8.346879,1048000
1987-03-19,12.375000,12.437500,12.250000,12.375000,8.346879,594800
1987-03-20,12.437500,12.625000,12.250000,12.500000,8.431194,1144000
1987-03-23,12.500000,12.562500,12.437500,12.437500,8.389036,636800
1987-03-24,12.437500,12.500000,12.375000,12.437500,8.389036,490400
1987-03-25,12.500000,12.500000,12.375000,12.437500,8.389036,939600
1987-03-26,12.500000,12.937500,12.437500,12.750000,8.599813,2110800
1987-03-27,12.875000,12.937500,12.750000,12.750000,8.599813,810400
1987-03-30,12.750000,12.750000,11.437500,11.750000,7.925316,1305600
1987-03-31,11.687500,12.125000,11.625000,12.000000,8.093944,876400
1987-04-01,11.750000,11.937500,11.750000,11.875000,8.009631,830000
1987-04-02,12.000000,12.187500,11.812500,11.875000,8.009631,566400
1987-04-03,11.937500,12.062500,11.812500,12.062500,8.136100,264800
1987-04-06,12.062500,12.250000,12.062500,12.250000,8.262569,297600
1987-04-07,12.250000,12.375000,11.875000,11.875000,8.009631,304000
1987-04-08,11.875000,12.062500,11.875000,12.000000,8.093944,507200
1987-04-09,12.000000,12.062500,11.875000,12.000000,8.093944,310400
1987-04-10,11.937500,11.937500,11.875000,11.875000,8.009631,442400
1987-04-13,11.812500,11.875000,11.500000,11.500000,7.756692,524000
1987-04-14,11.500000,11.500000,10.562500,10.625000,7.166510,1610000
1987-04-15,10.875000,10.937500,10.562500,10.812500,7.292981,730400
1987-04-16,10.812500,11.000000,10.750000,10.875000,7.335135,970800
1987-04-20,10.875000,11.000000,10.750000,10.875000,7.335135,482800
1987-04-21,10.812500,10.875000,10.625000,10.875000,7.335135,798800
1987-04-22,10.875000,11.062500,10.750000,10.750000,7.250823,466800
1987-04-23,10.812500,10.812500,10.562500,10.687500,7.208669,288400
1987-04-24,10.625000,10.687500,10.125000,10.187500,6.871419,686000
1987-04-27,10.187500,10.187500,9.750000,9.937500,6.702793,927200
1987-04-28,10.125000,10.187500,10.000000,10.062500,6.787107,978800
1987-04-29,10.062500,10.125000,9.625000,9.625000,6.492020,1031200
1987-04-30,9.687500,10.812500,9.500000,10.625000,7.166510,1474800
1987-05-01,10.625000,10.625000,10.500000,10.562500,7.124356,763600
1987-05-04,10.562500,10.562500,10.312500,10.437500,7.040044,791600
1987-05-05,10.437500,10.437500,10.250000,10.375000,6.997888,403600
1987-05-06,10.312500,10.500000,10.250000,10.437500,7.040044,1174800
1987-05-07,10.500000,10.562500,10.312500,10.437500,7.040044,630400
1987-05-08,10.500000,10.750000,10.437500,10.687500,7.208669,518800
1987-05-11,10.750000,11.187500,10.625000,10.625000,7.166510,783600
1987-05-12,10.687500,10.750000,10.500000,10.750000,7.250823,351200
1987-05-13,10.750000,11.062500,10.687500,11.000000,7.419449,519200
1987-05-14,11.062500,11.187500,10.875000,10.875000,7.335135,436400
1987-05-15,10.937500,11.250000,10.875000,11.000000,7.419449,1227600
1987-05-18,11.062500,11.062500,10.875000,11.062500,7.461604,665200
1987-05-19,10.937500,11.062500,10.812500,10.812500,7.292981,691200
1987-05-20,10.937500,10.937500,10.687500,10.750000,7.250823,1437200
1987-05-21,10.937500,11.062500,10.937500,10.937500,7.377288,426800
1987-05-22,11.000000,11.000000,10.687500,10.812500,7.292981,463600
1987-05-26,10.750000,10.812500,10.625000,10.812500,7.292981,851200
1987-05-27,10.812500,11.062500,10.750000,10.937500,7.377288,642800
1987-05-28,10.937500,11.000000,10.812500,11.000000,7.419449,269600
1987-05-29,10.875000,11.000000,10.750000,10.812500,7.292981,454000
1987-06-01,10.812500,10.812500,10.625000,10.625000,7.166510,270000
1987-06-02,10.625000,10.875000,10.375000,10.375000,6.997888,1157200
1987-06-03,10.500000,10.687500,10.500000,10.562500,7.124356,454400
1987-06-04,10.562500,10.687500,10.500000,10.625000,7.166510,339600
1987-06-05,10.625000,11.000000,10.625000,10.875000,7.335135,298800
1987-06-08,10.875000,10.937500,10.750000,10.843750,7.314061,102000
1987-06-09,10.937500,11.187500,10.875000,11.062500,7.461604,553200
1987-06-10,11.187500,11.875000,11.062500,11.625000,7.841008,1327600
1987-06-11,11.687500,11.687500,11.562500,11.687500,7.883164,438000
1987-06-12,11.687500,12.062500,11.562500,12.000000,8.093944,802000
1987-06-15,12.000000,12.062500,11.500000,11.593750,7.819929,1014000
1987-06-16,11.625000,11.812500,11.562500,11.750000,7.925316,950400
1987-06-17,11.687500,11.812500,11.625000,11.750000,7.925316,305200
1987-06-18,11.625000,12.250000,11.500000,11.875000,8.009631,716400
1987-06-19,11.937500,12.062500,11.562500,11.625000,7.841008,1115200
1987-06-22,11.750000,11.937500,11.625000,11.843750,7.988553,1788800
1987-06-23,11.812500,11.875000,11.562500,11.718750,7.904240,522000
1987-06-24,11.750000,11.812500,11.562500,11.593750,7.819929,341200
1987-06-25,11.625000,11.687500,11.500000,11.500000,7.756692,141200
1987-06-26,11.500000,11.500000,11.125000,11.437500,7.714542,665600
1987-06-29,11.500000,11.562500,11.375000,11.437500,7.714542,174000
1987-06-30,11.375000,11.500000,11.125000,11.218750,7.566994,658800
1987-07-01,11.218750,11.250000,11.125000,11.250000,7.588070,284000
1987-07-02,11.250000,11.500000,11.187500,11.500000,7.756692,1198000
1987-07-06,11.375000,11.500000,11.375000,11.375000,7.672387,557200
1987-07-07,11.375000,11.937500,11.375000,11.875000,8.009631,1249200
1987-07-08,11.812500,11.937500,11.687500,11.687500,7.883164,974800
1987-07-09,11.750000,11.750000,11.625000,11.656250,7.862086,676000
1987-07-10,11.687500,11.812500,11.625000,11.812500,7.967476,1556400
1987-07-13,11.687500,12.250000,11.687500,12.125000,8.178254,1487200
1987-07-14,12.125000,12.312500,12.125000,12.250000,8.262569,2787200
1987-07-15,12.250000,12.312500,11.875000,12.000000,8.093944,836400
1987-07-16,11.937500,12.000000,11.625000,11.937500,8.051785,608800
1987-07-17,12.000000,12.000000,11.750000,11.750000,7.925316,574000
1987-07-20,11.750000,11.812500,11.625000,11.687500,7.883164,333200
1987-07-21,11.687500,11.937500,11.562500,11.687500,7.883164,506400
1987-07-22,11.625000,11.750000,11.625000,11.625000,7.841008,419600
1987-07-23,11.687500,11.687500,11.312500,11.406250,7.693462,607200
1987-07-24,11.500000,11.562500,11.375000,11.562500,7.798851,157600
1987-07-27,11.500000,11.562500,11.312500,11.312500,7.630226,364000
1987-07-28,11.437500,11.500000,11.375000,11.375000,7.672387,281200
1987-07-29,11.375000,11.625000,11.375000,11.562500,7.798851,695200
1987-07-30,11.750000,11.937500,11.625000,11.937500,8.051785,636400
1987-07-31,11.875000,11.937500,11.812500,11.937500,8.051785,402000
1987-08-03,11.875000,12.187500,11.687500,12.062500,8.136100,455200
1987-08-04,11.937500,12.062500,11.875000,12.062500,8.136100,434400
1987-08-05,12.000000,12.187500,11.937500,12.062500,8.136100,400800
1987-08-06,12.062500,12.187500,12.000000,12.125000,8.178254,300800
1987-08-07,12.187500,12.468750,12.125000,12.312500,8.304722,726800
1987-08-10,12.312500,12.625000,12.312500,12.500000,8.431194,2041600
1987-08-11,12.500000,13.000000,12.500000,12.875000,8.684125,2023600
1987-08-12,12.875000,13.125000,12.750000,12.875000,8.684125,939600
1987-08-13,12.875000,12.937500,12.687500,12.687500,8.557657,1182000
1987-08-14,12.687500,12.750000,12.562500,12.687500,8.557657,324400
1987-08-17,12.625000,12.750000,12.250000,12.562500,8.473348,548000
1987-08-18,12.562500,12.562500,12.062500,12.250000,8.262569,503200
1987-08-19,12.250000,12.250000,12.125000,12.187500,8.220409,449200
1987-08-20,12.250000,12.687500,12.125000,12.562500,8.473348,536800
1987-08-21,12.687500,12.875000,12.625000,12.875000,8.684125,403600
1987-08-24,12.750000,12.875000,12.687500,12.687500,8.557657,344000
