date,open,high,low,close,adj-close,volume
1996-12-17,3.750000,3.750000,3.500000,3.500000,2.576657,1272400
1996-12-18,3.500000,3.593750,3.312500,3.562500,2.622669,1186800
1996-12-19,3.593750,3.718750,3.593750,3.656250,2.691686,528800
1996-12-20,3.625000,3.718750,3.625000,3.718750,2.737698,233200
1996-12-23,3.750000,3.843750,3.718750,3.812500,2.806715,57200
1996-12-24,3.843750,3.906250,3.843750,3.906250,2.875732,14000
1996-12-26,3.906250,3.937500,3.812500,3.812500,2.806715,22000
1996-12-27,3.812500,3.812500,3.812500,3.812500,2.806715,800
1996-12-30,3.843750,3.843750,3.781250,3.781250,2.783710,28400
1996-12-31,3.750000,3.781250,3.750000,3.781250,2.783710,15600
1997-01-02,3.750000,3.750000,3.656250,3.656250,2.691686,710000
1997-01-03,3.656250,3.781250,3.656250,3.750000,2.760704,1579600
1997-01-06,3.781250,3.812500,3.750000,3.781250,2.783710,2490800
1997-01-07,3.812500,4.000000,3.781250,4.000000,2.944750,641200
1997-01-08,4.062500,4.187500,4.031250,4.031250,2.967757,336000
1997-01-09,4.031250,4.093750,4.031250,4.062500,2.990762,459200
1997-01-10,4.093750,4.125000,4.062500,4.093750,3.013768,812800
1997-01-13,4.093750,4.093750,4.000000,4.062500,2.990762,3370000
1997-01-14,4.218750,4.437500,4.187500,4.437500,3.266832,2018000
1997-01-15,4.312500,4.343750,4.093750,4.093750,3.013768,2648400
1997-01-16,4.000000,4.062500,3.968750,4.000000,2.944750,2926000
1997-01-17,4.000000,4.062500,3.968750,4.031250,2.967757,1323600
1997-01-20,4.000000,4.031250,3.968750,3.968750,2.921745,2368400
1997-01-21,4.000000,4.031250,4.000000,4.000000,2.944750,2347200
1997-01-22,4.031250,4.031250,4.000000,4.000000,2.944750,2797600
1997-01-23,4.062500,4.156250,4.062500,4.093750,3.013768,1058800
1997-01-24,4.093750,4.281250,4.031250,4.031250,2.967757,1254800
1997-01-27,4.031250,4.093750,4.031250,4.031250,2.967757,1658000
1997-01-28,4.031250,4.187500,4.000000,4.000000,2.944750,1005600
1997-01-29,4.000000,4.093750,3.968750,4.000000,2.944750,1512000
1997-01-30,4.000000,4.062500,3.968750,4.000000,2.944750,2211200
1997-01-31,3.937500,4.000000,3.906250,3.937500,2.898739,1540400
1997-02-03,3.937500,4.062500,3.906250,4.062500,2.990762,1889600
1997-02-04,4.062500,4.125000,4.031250,4.125000,3.036774,1865600
1997-02-05,4.125000,4.156250,4.093750,4.156250,3.059778,458400
1997-02-06,4.125000,4.156250,4.125000,4.125000,3.036774,643600
1997-02-07,4.125000,4.218750,4.093750,4.187500,3.082785,2542800
1997-02-10,4.125000,4.156250,4.093750,4.125000,3.036774,944000
1997-02-11,4.062500,4.156250,4.062500,4.125000,3.036774,772000
1997-02-12,4.093750,4.125000,4.062500,4.093750,3.013768,400400
1997-02-13,4.093750,4.281250,4.093750,4.218750,3.105791,1190800
1997-02-14,4.218750,4.218750,4.093750,4.125000,3.036774,1210800
1997-02-18,4.062500,4.156250,4.062500,4.125000,3.036774,2076800
1997-02-19,4.093750,4.187500,4.093750,4.156250,3.059778,830800
1997-02-20,4.125000,4.375000,4.125000,4.218750,3.105791,1074000
1997-02-21,4.218750,4.281250,4.187500,4.250000,3.128798,638800
1997-02-24,4.250000,4.406250,4.250000,4.406250,3.243827,1108000
1997-02-25,4.406250,4.468750,4.375000,4.437500,3.266832,462000
1997-02-26,4.375000,4.406250,4.312500,4.343750,3.197815,525600
1997-02-27,4.312500,4.437500,4.250000,4.281250,3.151803,854800
1997-02-28,4.156250,4.281250,4.062500,4.218750,3.105791,514400
1997-03-03,4.156250,4.312500,4.156250,4.218750,3.105791,385600
1997-03-04,4.250000,4.250000,4.187500,4.218750,3.105791,803600
1997-03-05,4.187500,4.218750,4.093750,4.156250,3.059778,1542000
1997-03-06,4.156250,4.156250,4.093750,4.125000,3.036774,408800
1997-03-07,4.093750,4.125000,3.968750,4.062500,2.990762,968400
1997-03-10,4.062500,4.125000,4.062500,4.093750,3.013768,331200
1997-03-11,4.093750,4.156250,4.093750,4.093750,3.013768,1434000
1997-03-12,4.093750,4.125000,4.093750,4.125000,3.036774,558000
1997-03-13,4.062500,4.093750,4.062500,4.062500,2.990762,362800
1997-03-14,4.062500,4.125000,4.062500,4.093750,3.013768,964800
1997-03-17,4.093750,4.093750,4.000000,4.000000,2.944750,387600
1997-03-18,4.062500,4.062500,4.000000,4.031250,2.967757,303600
