date,open,high,low,close,adj-close,volume
1995-05-09,5.437892,5.959333,5.437892,5.810350,3.243325,2629321
1995-05-10,5.959333,6.331792,5.959333,6.182808,3.451229,4705896
1995-05-11,6.182808,6.406283,6.182808,6.331792,3.534393,3039098
1995-05-12,6.331792,6.406283,6.257300,6.257300,3.492811,1584909
1995-05-15,6.257300,6.331792,6.257300,6.257300,3.492811,1119421
1995-05-16,6.257300,6.331792,6.182808,6.257300,3.492811,1203826
1995-05-17,6.257300,6.257300,6.033825,6.108317,3.409647,1458888
1995-05-18,6.108317,6.257300,6.108317,6.182808,3.451229,420349
1995-05-19,6.257300,6.257300,6.108317,6.182808,3.451229,414476
1995-05-22,6.480775,6.778742,6.406283,6.629758,3.700717,1283868
1995-05-23,6.555267,6.778742,6.480775,6.704250,3.742297,1303502
1995-05-24,6.704250,6.704250,6.555267,6.555267,3.659135,989708
1995-05-25,6.555267,6.555267,6.331792,6.406283,3.575972,510628
1995-05-26,6.480775,6.480775,6.406283,6.480775,3.617554,613659
1995-05-30,6.406283,6.778742,6.257300,6.629758,3.700717,1501510
1995-05-31,6.480775,6.704250,6.406283,6.555267,3.659135,2194037
1995-06-01,6.480775,6.555267,6.331792,6.480775,3.617554,1504531
1995-06-02,6.406283,6.480775,6.331792,6.406283,3.575972,834657
1995-06-05,6.406283,6.629758,6.331792,6.555267,3.659135,3204050
1995-06-06,6.480775,6.629758,6.480775,6.555267,3.659135,2015158
1995-06-07,6.555267,6.704250,6.480775,6.555267,3.659135,1190066
1995-06-08,6.555267,6.778742,6.555267,6.629758,3.700717,1448149
1995-06-09,6.555267,6.704250,6.555267,6.555267,3.659135,1782918
1995-06-12,6.629758,6.629758,6.555267,6.555267,3.659135,2554648
1995-06-13,6.480775,6.629758,6.480775,6.629758,3.700717,1734422
1995-06-14,6.555267,6.704250,6.555267,6.629758,3.700717,1136201
1995-06-15,6.629758,6.853233,6.629758,6.704250,3.742297,1744826
1995-06-16,6.704250,6.778742,6.629758,6.629758,3.700717,1245609
1995-06-19,6.629758,6.778742,6.555267,6.778742,3.783880,1539098
1995-06-20,6.704250,6.853233,6.629758,6.704250,3.742297,2288343
1995-06-21,6.704250,6.704250,6.480775,6.480775,3.617554,1784260
1995-06-22,6.480775,6.555267,6.331792,6.406283,3.575972,2418056
1995-06-23,6.480775,6.704250,6.480775,6.480775,3.617554,1266417
1995-06-26,6.480775,6.629758,6.406283,6.406283,3.575972,1429858
1995-06-27,6.406283,6.704250,6.406283,6.629758,3.700717,1263900
1995-06-28,6.480775,6.704250,6.480775,6.704250,3.742297,1961125
1995-06-29,6.555267,6.778742,6.555267,6.629758,3.700717,1098109
1995-06-30,6.704250,6.704250,6.480775,6.480775,3.617554,1102137
1995-07-03,6.406283,6.555267,6.406283,6.555267,3.659135,299866
1995-07-05,6.480775,6.704250,6.480775,6.629758,3.700717,938528
1995-07-06,6.629758,6.704250,6.480775,6.480775,3.617554,1517116
1995-07-07,6.480775,6.704250,6.331792,6.629758,3.700717,1615785
1995-07-10,6.555267,6.629758,6.406283,6.406283,3.575972,627251
1995-07-11,6.331792,6.555267,6.331792,6.406283,3.575972,1358877
1995-07-12,6.406283,6.406283,6.257300,6.257300,3.492811,1030317
1995-07-13,6.182808,6.257300,6.033825,6.257300,3.492811,2453798
1995-07-14,6.108317,6.257300,6.033825,6.257300,3.492811,1149961
1995-07-17,6.257300,6.331792,6.182808,6.182808,3.451229,947421
1995-07-18,6.182808,6.331792,6.182808,6.257300,3.492811,4018067
1995-07-19,6.257300,6.257300,6.108317,6.182808,3.451229,1287728
1995-07-20,6.182808,6.257300,6.108317,6.182808,3.451229,1097103
1995-07-21,6.182808,6.257300,6.108317,6.182808,3.451229,960007
1995-07-24,6.108317,6.406283,6.108317,6.331792,3.534393,1604374
1995-07-25,6.257300,6.480775,6.257300,6.331792,3.534393,898087
1995-07-26,6.331792,6.406283,6.257300,6.406283,3.575972,1296286
1995-07-27,6.331792,6.555267,6.331792,6.480775,3.617554,1643976
1995-07-28,6.406283,6.480775,6.331792,6.331792,3.534393,651751
1995-07-31,6.331792,6.480775,6.331792,6.480775,3.617554,731793
1995-08-01,6.406283,6.406283,6.257300,6.257300,3.492811,1008502
1995-08-02,6.257300,6.406283,6.257300,6.257300,3.492811,1249469
1995-08-03,6.257300,6.331792,6.257300,6.257300,3.492811,979975
1995-08-04,6.257300,6.331792,6.108317,6.108317,3.409647,1071093
1995-08-07,6.108317,6.257300,6.108317,6.257300,3.492811,1070086
