date,open,high,low,close,adj-close,volume
2000-08-11,408.000000,448.000000,384.000000,420.000000,324.180695,792528
2000-08-14,419.000000,420.000000,384.000000,384.000000,296.393646,80228
2000-08-15,389.000000,396.000000,384.000000,388.000000,299.481232,48422
2000-08-16,386.000000,418.000000,386.000000,396.000000,305.655975,42166
2000-08-17,392.000000,400.000000,382.000000,384.000000,296.393646,47247
2000-08-18,401.000000,460.000000,396.000000,458.000000,353.511292,60400
2000-08-21,482.000000,520.000000,446.000000,486.000000,375.123322,66547
2000-08-22,492.000000,502.000000,432.000000,432.000000,333.442841,33878
2000-08-23,434.000000,440.000000,408.000000,416.000000,321.093231,17925
2000-08-24,414.000000,418.000000,386.000000,386.000000,297.937531,18441
2000-08-25,402.000000,414.000000,388.000000,412.000000,318.005798,20113
2000-08-28,429.000000,433.500000,400.000000,420.000000,324.180695,19491
2000-08-29,430.000000,432.000000,404.000000,428.000000,330.355499,22728
2000-08-30,427.000000,470.000000,424.000000,454.000000,350.423737,19891
2000-08-31,482.000000,528.000000,476.000000,518.000000,399.822754,87397
2000-09-01,516.000000,520.000000,480.000000,504.000000,389.016724,27738
2000-09-05,506.000000,520.000000,496.000000,498.000000,384.385559,23025
2000-09-06,516.000000,520.000000,488.000000,496.000000,382.841919,20559
2000-09-07,512.000000,512.000000,428.000000,460.000000,355.054962,23959
2000-09-08,456.500000,464.000000,440.000000,448.000000,345.792664,15956
2000-09-11,442.000000,448.000000,432.000000,444.000000,342.705231,34547
2000-09-12,435.000000,442.000000,412.000000,416.000000,321.093231,33853
2000-09-13,408.000000,420.000000,396.000000,400.000000,308.743530,10363
2000-09-14,444.000000,444.000000,400.000000,406.000000,313.374634,8109
2000-09-15,402.000000,416.000000,400.000000,402.000000,310.287231,3600
2000-09-18,420.000000,424.000000,382.000000,386.000000,297.937531,18659
2000-09-19,419.000000,420.000000,344.000000,360.000000,277.869110,48038
2000-09-20,368.000000,370.000000,312.000000,332.000000,256.257019,24103
2000-09-21,330.000000,344.000000,326.000000,340.000000,262.431946,25247
2000-09-22,307.000000,346.000000,302.000000,338.000000,260.888397,8456
2000-09-25,340.000000,346.000000,300.000000,302.000000,233.101318,21066
2000-09-26,316.000000,318.000000,288.000000,296.000000,228.470245,19634
2000-09-27,301.000000,302.000000,276.000000,299.000000,230.785706,16756
2000-09-28,296.000000,344.000000,292.000000,320.000000,246.994858,22041
2000-09-29,323.000000,324.000000,279.000000,284.000000,219.207855,19125
2000-10-02,300.000000,301.000000,268.000000,272.000000,209.945587,6888
2000-10-03,275.000000,284.000000,248.000000,254.000000,196.052094,10128
2000-10-04,256.000000,258.000000,216.000000,228.000000,175.983765,14600
2000-10-05,222.000000,260.000000,208.000000,210.000000,162.090347,15178
2000-10-06,222.500000,224.000000,190.000000,195.000000,150.512451,11413
2000-10-09,210.000000,214.000000,185.000000,198.000000,152.827988,10650
2000-10-10,202.000000,204.000000,176.000000,182.000000,140.478302,13291
2000-10-11,168.000000,184.000000,130.000000,132.000000,101.885376,42488
2000-10-12,163.000000,168.000000,144.000000,166.000000,128.128510,37297
2000-10-13,182.000000,252.000000,177.000000,242.000000,186.789795,42863
2000-10-16,260.000000,262.000000,236.000000,260.000000,200.683258,38531
2000-10-17,272.000000,274.000000,244.000000,250.000000,192.964706,11047
2000-10-18,248.000000,268.000000,190.000000,258.000000,199.139572,19303
2000-10-19,272.000000,298.000000,216.000000,221.000000,170.580780,25997
2000-10-20,240.000000,240.000000,224.000000,234.000000,180.614960,21797
2000-10-23,236.000000,269.000000,228.000000,264.000000,203.770752,17800
2000-10-24,265.500000,272.000000,260.000000,270.000000,208.401855,19788
2000-10-25,267.500000,272.000000,252.000000,272.000000,209.945587,13225
2000-10-26,271.000000,308.000000,270.000000,290.000000,223.839066,8788
2000-10-27,291.500000,292.000000,276.000000,288.000000,222.295258,3381
2000-10-30,286.000000,300.000000,276.000000,286.000000,220.751587,7650
2000-10-31,292.000000,328.000000,280.000000,312.000000,240.819855,10488
2000-11-01,311.500000,336.000000,306.000000,312.000000,240.819855,11591
2000-11-02,311.500000,316.000000,284.000000,296.000000,228.470245,7863
2000-11-03,287.000000,302.000000,287.000000,292.000000,225.382721,7700
2000-11-06,296.000000,300.000000,278.000000,284.000000,219.207855,9731
2000-11-07,288.000000,288.000000,280.000000,284.000000,219.207855,6675
2000-11-08,284.000000,284.000000,241.000000,258.000000,199.139572,20909
2000-11-09,240.000000,256.000000,240.000000,253.000000,195.280243,12606
2000-11-10,244.500000,248.000000,238.000000,238.000000,183.702347,18113
2000-11-13,222.000000,226.000000,218.000000,226.000000,174.440063,13725
2000-11-14,225.000000,234.000000,208.000000,212.000000,163.634033,15722
2000-11-15,220.000000,222.000000,202.000000,202.000000,155.915512,20422
2000-11-16,208.500000,212.000000,200.000000,203.000000,156.687317,3903
2000-11-17,219.000000,220.000000,204.000000,212.000000,163.634033,14125
2000-11-20,209.000000,210.000000,202.000000,202.000000,155.915512,5497
2000-11-21,203.000000,208.000000,198.000000,198.000000,152.827988,8266
2000-11-22,200.000000,200.000000,192.000000,192.000000,148.196823,11475
2000-11-24,194.500000,196.000000,192.000000,193.000000,148.968765,1819
2000-11-27,204.000000,212.000000,190.000000,192.000000,148.196823,5253
2000-11-28,196.000000,196.000000,172.000000,174.000000,134.303406,3931
2000-11-29,174.000000,178.000000,144.000000,156.000000,120.409927,17034
2000-11-30,152.000000,155.000000,136.000000,140.000000,108.060219,10675
2000-12-01,140.000000,162.000000,139.000000,154.000000,118.866249,6878
2000-12-04,155.000000,164.000000,155.000000,158.000000,121.953682,2400
2000-12-05,162.500000,166.000000,156.000000,162.000000,125.041130,4709
2000-12-06,161.000000,162.000000,146.000000,154.000000,118.866249,5175
2000-12-07,153.000000,166.000000,144.000000,144.000000,111.147629,13638
2000-12-08,152.000000,192.000000,152.000000,176.000000,135.847107,5741
2000-12-11,177.000000,186.000000,176.000000,176.000000,135.847107,2597
2000-12-12,181.500000,234.000000,176.000000,212.000000,163.634033,10088
2000-12-13,235.500000,244.000000,220.000000,226.000000,174.440063,6697
2000-12-14,233.500000,234.000000,218.000000,224.000000,172.896332,4953
2000-12-15,222.500000,225.500000,214.000000,214.000000,165.177750,2538
2000-12-18,227.000000,228.000000,180.000000,187.000000,144.337570,3103
2000-12-19,173.000000,190.000000,164.000000,178.000000,137.390823,5059
2000-12-20,176.000000,178.500000,150.000000,156.000000,120.409927,8256
2000-12-21,144.000000,148.000000,126.000000,130.000000,100.341629,16756
2000-12-22,146.500000,148.000000,128.000000,128.000000,98.797951,14159
2000-12-26,130.000000,142.000000,122.000000,126.000000,97.254181,10953
2000-12-27,126.000000,128.000000,112.000000,122.000000,94.166771,6916
2000-12-28,120.000000,122.000000,104.000000,112.000000,86.448166,30813
2000-12-29,111.000000,152.000000,110.000000,140.000000,108.060219,16788
2001-01-02,141.500000,142.000000,108.000000,114.000000,87.991882,13525
2001-01-03,110.000000,144.000000,104.000000,116.000000,89.535622,26134
2001-01-04,125.500000,134.000000,112.000000,116.000000,89.535622,9791
2001-01-05,120.000000,130.000000,114.000000,128.000000,98.797951,5069
2001-01-08,128.000000,130.000000,120.000000,126.000000,97.254181,5200
2001-01-09,128.000000,128.000000,114.000000,119.000000,91.851173,2313
2001-01-10,121.000000,124.000000,114.000000,122.000000,94.166771,5628
2001-01-11,122.000000,130.000000,115.000000,124.000000,95.710480,7794
2001-01-12,125.500000,148.000000,125.500000,148.000000,114.235123,17147
2001-01-16,152.000000,168.000000,144.000000,160.000000,123.497429,6475
2001-01-17,168.000000,192.000000,166.000000,180.000000,138.934555,6963
2001-01-18,189.500000,196.000000,184.000000,186.000000,143.565720,6850
2001-01-19,188.000000,194.000000,184.000000,188.000000,145.109451,9156
2001-01-22,192.000000,200.000000,184.000000,192.000000,148.196823,8409
2001-01-23,192.500000,208.000000,190.000000,204.000000,157.459198,4269
2001-01-24,216.500000,240.000000,202.000000,224.000000,172.896332,13166
2001-01-25,222.000000,224.000000,208.000000,208.000000,160.546616,5769
2001-01-26,190.000000,196.000000,176.000000,192.000000,148.196823,7822
2001-01-29,197.000000,204.000000,192.000000,194.000000,149.740616,2884
2001-01-30,198.000000,198.000000,188.000000,190.000000,146.653137,2569
2001-01-31,193.500000,200.000000,184.000000,190.000000,146.653137,8288
2001-02-01,190.000000,198.000000,189.000000,192.000000,148.196823,1569
2001-02-02,192.000000,194.000000,188.000000,192.000000,148.196823,1241
2001-02-05,191.000000,191.000000,172.000000,172.000000,132.759720,2234
2001-02-06,160.000000,173.000000,156.000000,169.000000,130.444199,3241
2001-02-07,169.000000,196.000000,166.000000,196.000000,151.284348,4134
2001-02-08,210.000000,224.000000,200.000000,208.000000,160.546616,15356
