date,open,high,low,close,adj-close,volume
1996-06-28,4.111111,4.555556,4.083333,4.444444,3.511810,7850250
1996-07-01,4.388889,4.500000,4.388889,4.472222,3.533759,663750
1996-07-02,4.416667,4.611111,4.416667,4.555556,3.599605,1340100
1996-07-03,4.583333,4.583333,4.416667,4.500000,3.555707,660600
1996-07-05,4.416667,4.416667,4.305556,4.416667,3.489863,502650
1996-07-08,4.444444,4.444444,4.111111,4.138889,3.270374,584550
1996-07-09,4.166667,4.222222,4.111111,4.111111,3.248424,238500
1996-07-10,4.111111,4.138889,3.944444,3.944444,3.116731,520200
1996-07-11,3.888889,3.888889,3.694444,3.833333,3.028935,192600
1996-07-12,3.833333,3.888889,3.833333,3.861111,3.050884,49500
1996-07-15,3.833333,3.944444,3.833333,3.833333,3.028935,342900
1996-07-16,3.805556,3.805556,3.444444,3.500000,2.765550,350550
1996-07-17,3.555556,3.861111,3.555556,3.805556,3.006988,181800
1996-07-18,3.777778,3.805556,3.777778,3.805556,3.006988,8100
1996-07-19,3.805556,3.833333,3.805556,3.833333,3.028935,33750
1996-07-22,3.888889,3.944444,3.861111,3.888889,3.072834,206100
1996-07-23,3.916667,3.916667,3.777778,3.777778,2.985039,11700
1996-07-24,3.777778,3.805556,3.722222,3.805556,3.006988,54450
1996-07-25,3.805556,3.861111,3.805556,3.861111,3.050884,46350
1996-07-26,3.888889,3.888889,3.888889,3.888889,3.072834,22500
1996-07-29,3.916667,4.083333,3.916667,4.055556,3.204526,79200
1996-07-30,4.055556,4.222222,4.027778,4.222222,3.336218,212400
1996-07-31,4.222222,4.472222,4.222222,4.444444,3.511810,257400
1996-08-01,4.444444,4.444444,4.361111,4.361111,3.445963,30150
1996-08-02,4.444444,4.444444,4.305556,4.305556,3.402066,90000
1996-08-05,4.361111,4.416667,4.361111,4.388889,3.467913,25650
1996-08-06,4.416667,4.416667,4.361111,4.361111,3.445963,89100
1996-08-07,4.305556,4.305556,4.111111,4.111111,3.248424,71550
1996-08-08,4.083333,4.111111,4.055556,4.083333,3.226475,233100
