date,open,high,low,close,adj-close,volume
2024-04-01,141.009995,144.330002,137.070007,142.020004,142.020004,1029500
2024-04-02,142.850006,152.479996,138.639999,140.000000,140.000000,18246100
2024-04-03,142.300003,144.000000,135.800003,137.339996,137.339996,8866900
2024-04-04,136.000000,139.350006,125.260002,126.059998,126.059998,14207700
2024-04-05,125.500000,128.179993,119.000000,122.699997,122.699997,16051000
2024-04-08,126.129997,131.949997,125.860001,129.960007,129.960007,12195000
2024-04-09,130.869995,133.600006,128.250000,132.169998,132.169998,9143500
2024-04-10,129.500000,139.929993,128.940002,138.369995,138.369995,8376800
2024-04-11,139.199997,139.320007,136.410004,136.570007,136.570007,5326900
2024-04-12,135.000000,138.110001,133.554993,134.000000,134.000000,3761900
2024-04-15,134.600006,135.320007,129.850006,131.750000,131.750000,3724900
2024-04-16,132.500000,133.050003,128.250000,130.070007,130.070007,5870900
2024-04-17,132.039993,138.179993,131.250000,134.750000,134.750000,6154600
2024-04-18,138.149994,138.410004,135.429993,137.220001,137.220001,5022300
2024-04-19,137.250000,140.589996,134.904999,135.100006,135.100006,4515600
2024-04-22,135.520004,137.139999,132.110001,136.690002,136.690002,2435000
2024-04-23,138.460007,148.350006,137.869995,147.830002,147.830002,4682800
2024-04-24,147.000000,149.899994,144.350006,146.179993,146.179993,4681200
