date,open,high,low,close,adj-close,volume
2000-12-08,7.906250,11.437500,7.562500,10.000000,5.380561,17149800
2000-12-11,11.343750,11.375000,9.937500,10.593750,5.700030,2919200
2000-12-12,10.609375,10.625000,9.687500,9.937500,5.346931,1077400
2000-12-13,10.375000,10.437500,9.875000,9.937500,5.346931,422400
2000-12-14,9.992188,10.125000,9.937500,10.062500,5.414191,265400
2000-12-15,10.125000,10.125000,9.000000,10.062500,5.414191,950200
2000-12-18,10.250000,10.250000,9.718750,10.031250,5.397376,483600
2000-12-19,10.023438,10.031250,9.625000,9.812500,5.279674,457400
2000-12-20,9.687500,9.812500,9.000000,9.125000,4.909762,1228800
2000-12-21,9.031250,9.250000,8.875000,9.093750,4.892947,1017400
2000-12-22,9.312500,9.687500,9.250000,9.625000,5.178789,416000
2000-12-26,9.656250,9.687500,9.437500,9.500000,5.111533,754000
2000-12-27,9.453125,9.562500,9.125000,9.281250,4.993834,361400
2000-12-28,9.312500,9.687500,9.156250,9.312500,5.010647,1048600
2000-12-29,9.500000,10.062500,9.375000,9.875000,5.313303,232800
2001-01-02,10.085938,10.125000,9.343750,9.625000,5.178789,330400
2001-01-03,9.390625,9.687500,8.750000,8.812500,4.741619,545400
2001-01-04,8.968750,9.500000,8.812500,9.031250,4.859319,287600
2001-01-05,9.054688,9.250000,8.875000,9.062500,4.876134,962000
2001-01-08,9.000000,9.093750,8.750000,8.750000,4.707990,631000
2001-01-09,8.953125,9.000000,8.500000,8.625000,4.640734,821800
2001-01-10,8.593750,8.625000,8.375000,8.500000,4.573476,976800
2001-01-11,8.515625,9.250000,8.500000,9.093750,4.892947,1357000
2001-01-12,9.296875,9.625000,9.250000,9.562500,5.145161,566200
2001-01-16,9.812500,10.250000,9.437500,9.500000,5.111533,663200
2001-01-17,9.554688,9.937500,9.437500,9.687500,5.212417,486000
2001-01-18,9.742188,9.750000,9.250000,9.500000,5.111533,292800
2001-01-19,9.531250,9.625000,9.125000,9.187500,4.943389,254200
2001-01-22,9.312500,9.312500,8.812500,8.937500,4.808876,764600
2001-01-23,9.125000,9.187500,8.937500,8.937500,4.808876,442600
2001-01-24,8.945313,9.000000,8.468750,8.500000,4.573476,1197200
2001-01-25,8.625000,9.000000,8.125000,8.937500,4.808876,985800
2001-01-26,8.750000,9.687500,8.687500,9.312500,5.010647,249000
2001-01-29,9.492188,10.000000,9.312500,9.968750,5.363746,206600
2001-01-30,9.968750,10.031250,9.468750,10.031250,5.397376,188800
2001-01-31,9.882813,10.031250,9.687500,9.718750,5.229231,84200
2001-02-01,9.687500,10.031250,9.687500,9.937500,5.346931,100600
2001-02-02,10.031250,10.875000,10.000000,10.812500,5.817731,477200
2001-02-05,11.031250,12.187500,10.875000,11.937500,6.423045,562400
2001-02-06,12.117188,12.843750,11.937500,12.375000,6.658443,585600
2001-02-07,12.062500,12.500000,11.937500,12.187500,6.557558,189400
2001-02-08,12.132813,12.687500,12.125000,12.562500,6.759328,451400
2001-02-09,12.531250,12.593750,12.000000,12.000000,6.456673,730200
2001-02-12,12.125000,12.187500,11.750000,11.750000,6.322158,2362200
2001-02-13,11.906250,12.312500,11.687500,12.187500,6.557558,228600
2001-02-14,12.250000,12.312500,10.687500,11.125000,5.985875,1363600
2001-02-15,11.375000,11.500000,10.375000,10.625000,5.716844,359400
2001-02-16,10.593750,11.187500,10.062500,10.687500,5.750474,264200
2001-02-20,11.000000,11.000000,9.562500,9.812500,5.279674,391400
2001-02-21,9.632813,10.062500,9.437500,9.812500,5.279674,196800
2001-02-22,9.804688,9.812500,9.281250,9.281250,4.993834,197400
2001-02-23,9.250000,10.281250,9.187500,10.250000,5.515075,122800
2001-02-26,10.250000,10.750000,10.226563,10.609375,5.708439,118600
2001-02-27,10.750000,11.000000,10.687500,11.000000,5.918617,271800
2001-02-28,11.062500,11.062500,10.906250,10.937500,5.884988,142600
