date,open,high,low,close,adj-close,volume
1973-02-21,4.546875,4.546875,4.546875,4.546875,2.413230,20000
1973-02-22,4.578125,4.578125,4.578125,4.578125,2.429816,6400
1973-02-23,4.734375,4.734375,4.734375,4.734375,2.512746,43200
1973-02-26,4.734375,4.734375,4.734375,4.734375,2.512746,4800
1973-02-27,4.671875,4.671875,4.671875,4.671875,2.479573,1600
1973-02-28,4.625000,4.625000,4.625000,4.625000,2.454694,65600
1973-03-01,4.640625,4.640625,4.640625,4.640625,2.462988,3200
1973-03-02,4.625000,4.625000,4.625000,4.625000,2.454694,1600
1973-03-05,4.593750,4.593750,4.593750,4.593750,2.438109,14400
1973-03-06,4.609375,4.609375,4.609375,4.609375,2.446402,108000
1973-03-07,4.500000,4.500000,4.500000,4.500000,2.388352,36000
1973-03-08,4.500000,4.500000,4.500000,4.500000,2.388352,8000
1973-03-09,4.375000,4.375000,4.375000,4.375000,2.322008,16800
1973-03-12,4.250000,4.250000,4.250000,4.250000,2.255665,17600
1973-03-13,4.312500,4.312500,4.312500,4.312500,2.288837,14400
1973-03-14,4.265625,4.265625,4.265625,4.265625,2.263958,13600
1973-03-15,4.250000,4.250000,4.250000,4.250000,2.255665,28000
1973-03-16,4.250000,4.250000,4.250000,4.250000,2.255665,121600
1973-03-19,4.265625,4.265625,4.265625,4.265625,2.263958,16800
1973-03-20,4.218750,4.218750,4.218750,4.218750,2.239080,20000
1973-03-21,4.156250,4.156250,4.156250,4.156250,2.205908,16800
1973-03-22,3.890625,3.890625,3.890625,3.890625,2.064930,16000
1973-03-23,3.812500,3.812500,3.812500,3.812500,2.023465,44000
1973-03-26,3.781250,3.781250,3.781250,3.781250,2.006878,25600
1973-03-27,4.000000,4.000000,4.000000,4.000000,2.122979,25600
1973-03-28,4.234375,4.234375,4.234375,4.234375,2.247371,12800
1973-03-29,4.375000,4.375000,4.375000,4.375000,2.322008,25600
1973-03-30,4.375000,4.375000,4.375000,4.375000,2.322008,35200
1973-04-02,4.343750,4.343750,4.343750,4.343750,2.305423,16000
1973-04-03,4.203125,4.203125,4.203125,4.203125,2.230787,127200
1973-04-04,4.093750,4.093750,4.093750,4.093750,2.172736,32800
1973-04-05,4.000000,4.000000,4.000000,4.000000,2.122979,29600
1973-04-06,3.906250,3.906250,3.906250,3.906250,2.073222,55200
1973-04-09,4.031250,4.031250,4.031250,4.031250,2.139566,36000
1973-04-10,4.125000,4.125000,4.125000,4.125000,2.189322,12000
1973-04-11,4.125000,4.125000,4.125000,4.125000,2.189322,53600
1973-04-12,4.125000,4.125000,4.125000,4.125000,2.189322,16000
