date,open,high,low,close,adj-close,volume
1972-06-01,0.000000,3.946057,3.891458,3.946057,1.314293,158655
1972-06-02,3.946057,4.020511,3.921239,3.975839,1.324213,705134
1972-06-05,3.951021,3.951021,3.812040,3.821967,1.276316,284572
1972-06-06,3.821967,3.851749,3.802113,3.812040,1.273001,203985
1972-06-07,3.812040,3.821967,3.792186,3.797149,1.268028,85623
1972-06-08,3.797149,3.821967,3.782258,3.782258,1.263055,191394
1972-06-09,3.772331,3.772331,3.702841,3.762404,1.256425,292127
1972-06-12,3.762404,3.807076,3.762404,3.762404,1.256425,128435
1972-06-13,3.762404,3.782258,3.722695,3.742550,1.249796,720244
1972-06-14,3.742550,3.782258,3.737586,3.772331,1.259741,594327
1972-06-15,3.772331,3.807076,3.772331,3.797149,1.268028,251834
1972-06-16,3.797149,3.826931,3.792186,3.817004,1.274659,279535
1972-06-19,3.821967,3.861676,3.821967,3.856712,1.287919,516259
1972-06-20,3.856712,3.866640,3.821967,3.846785,1.284604,375232
1972-06-21,3.846785,3.876567,3.841822,3.861676,1.289577,246797
1972-06-22,3.861676,3.881530,3.817004,3.881530,1.296206,209022
1972-06-23,3.881530,3.980802,3.881530,3.941093,1.316097,498631
1972-06-26,3.941093,3.960948,3.916275,3.941093,1.316097,251834
1972-06-27,3.941093,3.970875,3.931166,3.970875,1.326043,271980
1972-06-28,3.970875,3.985766,3.960948,3.970875,1.326043,110807
1972-06-29,3.970875,4.000657,3.960948,3.990729,1.332673,211540
1972-06-30,3.985766,3.985766,3.960948,3.960948,1.322728,120880
1972-07-03,3.960948,3.970875,3.911312,3.931166,1.312782,128435
1972-07-05,3.931166,3.951021,3.911312,3.931166,1.312782,118362
1972-07-06,3.931166,3.990729,3.921239,3.921239,1.309467,236724
1972-07-07,3.921239,3.926203,3.851749,3.871603,1.292892,226650
1972-07-10,3.871603,3.931166,3.871603,3.911312,1.306153,370195
1972-07-11,3.911312,3.911312,3.881530,3.881530,1.296206,148582
1972-07-12,3.871603,3.871603,3.807076,3.812040,1.273001,271980
1972-07-13,3.812040,3.812040,3.772331,3.807076,1.271343,269462
1972-07-14,3.812040,3.891458,3.812040,3.881530,1.296206,742909
1972-07-17,3.881530,3.886494,3.851749,3.871603,1.292892,536406
1972-07-18,3.871603,3.871603,3.836858,3.871603,1.292892,186357
1972-07-19,3.881530,3.951021,3.881530,3.891458,1.299522,339975
1972-07-20,3.876567,3.876567,3.841822,3.851749,1.286261,312274
1972-07-21,3.851749,3.881530,3.836858,3.881530,1.296206,360122
1972-07-24,3.881530,3.891458,3.836858,3.881530,1.296206,543961
1972-07-25,3.896421,3.975839,3.896421,3.931166,1.312782,941858
1972-07-26,3.931166,3.941093,3.911312,3.916275,1.307809,203985
1972-07-27,3.931166,3.970875,3.931166,3.970875,1.326043,360122
1972-07-28,3.970875,3.990729,3.970875,3.990729,1.332673,395379
1972-07-31,3.990729,4.010584,3.970875,3.990729,1.332673,138509
1972-08-01,3.990729,4.030438,3.975839,4.030438,1.345933,193912
1972-08-02,4.050293,4.209128,4.050293,4.199200,1.402291,904083
1972-08-03,4.209128,4.358035,4.209128,4.308399,1.438755,523814
1972-08-04,4.328254,4.367963,4.328254,4.348108,1.452016,496112
1972-08-07,4.348108,4.353072,4.318327,4.318327,1.442071,188875
1972-08-08,4.318327,4.432489,4.318327,4.432489,1.480195,307237
1972-08-09,4.432489,4.526798,4.432489,4.447380,1.485168,448264
1972-08-10,4.467234,4.526798,4.467234,4.501980,1.503400,246797
1972-08-11,4.506943,4.685633,4.506943,4.606215,1.538209,400416
1972-08-14,4.606215,4.680669,4.586361,4.645924,1.551470,314792
1972-08-15,4.640960,4.640960,4.566506,4.616142,1.541525,219095
1972-08-16,4.616142,4.645924,4.566506,4.566506,1.524948,196430
1972-08-17,4.566506,4.596288,4.551615,4.566506,1.524948,433154
1972-08-18,4.566506,4.591324,4.546652,4.566506,1.524948,236724
1972-08-21,4.541688,4.541688,4.492052,4.501980,1.503400,183839
1972-08-22,4.501980,4.561543,4.497016,4.546652,1.518318,304719
1972-08-23,4.546652,4.566506,4.536725,4.556579,1.521635,440709
1972-08-24,4.546652,4.546652,4.492052,4.501980,1.503400,55403
1972-08-25,4.358035,4.358035,4.263727,4.278618,1.428811,594327
1972-08-28,4.278618,4.283581,4.189273,4.253800,1.420523,345012
1972-08-29,4.253800,4.253800,4.194237,4.219055,1.408920,236724
1972-08-30,4.228982,4.348108,4.228982,4.313363,1.440414,355085
1972-08-31,4.313363,4.447380,4.288545,4.447380,1.485168,516259
1972-09-01,4.447380,4.526798,4.432489,4.477162,1.498632,352567
1972-09-05,4.477162,4.477162,4.402708,4.417598,1.478695,307237
1972-09-06,4.417598,4.427526,4.387817,4.412635,1.477033,601882
1972-09-07,4.412635,4.437453,4.402708,4.417598,1.478695,345012
1972-09-08,4.407671,4.407671,4.367963,4.372926,1.463741,375232
1972-09-11,4.372926,4.392780,4.372926,4.377890,1.465403,282054
1972-09-12,4.377890,4.377890,4.273654,4.298472,1.438820,707653
1972-09-13,4.298472,4.328254,4.248836,4.308399,1.442143,382787
1972-09-14,4.308399,4.358035,4.288545,4.328254,1.448788,425599
1972-09-15,4.328254,4.353072,4.313363,4.328254,1.448788,423081
1972-09-18,4.328254,4.328254,4.293509,4.318327,1.445466,141027
1972-09-19,4.318327,4.323290,4.288545,4.303436,1.440481,317310
1972-09-20,4.268691,4.268691,4.228982,4.263727,1.427189,367677
1972-09-21,4.263727,4.263727,4.233945,4.233945,1.417220,511222
1972-09-22,4.248836,4.338181,4.248836,4.318327,1.445466,334939
1972-09-25,4.328254,4.407671,4.328254,4.328254,1.448788,367677
1972-09-26,4.338181,4.377890,4.338181,4.358035,1.458757,244279
1972-09-27,4.382853,4.482125,4.382853,4.477162,1.498632,647213
1972-09-28,4.477162,4.626069,4.477162,4.626069,1.548475,856234
1972-09-29,4.675705,4.794832,4.675705,4.710450,1.576720,632102
1972-10-02,4.710450,4.755123,4.626069,4.675705,1.565091,1030000
1972-10-03,4.685633,4.770014,4.685633,4.770014,1.596658,294645
1972-10-04,4.774977,4.864322,4.774977,4.784904,1.601643,418044
1972-10-05,4.784904,4.814686,4.685633,4.685633,1.568413,410489
1972-10-06,4.685633,4.685633,4.526798,4.621106,1.546815,760538
1972-10-09,4.660815,4.685633,4.660815,4.660815,1.560105,178802
1972-10-10,4.705487,4.824613,4.705487,4.765050,1.594997,536406
1972-10-11,4.765050,4.819650,4.705487,4.765050,1.594997,322347
1972-10-12,4.765050,4.765050,4.670742,4.755123,1.591673,302200
1972-10-13,4.755123,4.765050,4.710450,4.745196,1.588352,299682
1972-10-16,4.745196,4.760086,4.705487,4.710450,1.576720,324865
1972-10-17,4.710450,4.735268,4.665778,4.710450,1.576720,561589
1972-10-18,4.710450,4.839504,4.710450,4.829577,1.616595,591809
1972-10-19,4.829577,4.874249,4.809722,4.829577,1.616595,652249
1972-10-20,4.829577,4.899067,4.824613,4.869285,1.629887,1354865
1972-10-23,4.943739,5.013230,4.943739,4.953667,1.658132,463374
1972-10-24,4.953667,4.993375,4.904031,4.963594,1.661454,380269
1972-10-25,4.943739,4.943739,4.879213,4.923885,1.648163,113325
1972-10-26,4.923885,4.963594,4.844468,4.844468,1.621580,256870
1972-10-27,4.844468,4.904031,4.844468,4.884176,1.634871,425599
1972-10-30,4.913958,4.953667,4.913958,4.928849,1.649825,259389
1972-10-31,4.963594,5.062866,4.963594,5.062866,1.694684,564107
1972-11-01,5.077756,5.172065,5.077756,5.162138,1.727914,521296
1972-11-02,5.162138,5.221701,5.152210,5.186955,1.736220,443227
1972-11-03,5.201846,5.330900,5.201846,5.320973,1.781080,413007
1972-11-06,5.320973,5.390463,5.281264,5.355718,1.792709,491076
1972-11-08,5.370608,5.400390,5.370608,5.375572,1.799356,982151
1972-11-09,5.375572,5.400390,5.365645,5.390463,1.804339,780684
1972-11-10,5.390463,5.430172,5.365645,5.390463,1.804339,649731
1972-11-13,5.390463,5.415281,5.380536,5.405354,1.809325,481002
1972-11-14,5.405354,5.415281,5.311045,5.311045,1.777757,1254132
1972-11-15,5.281264,5.281264,5.181992,5.191919,1.737881,883936
1972-11-16,5.191919,5.211773,5.132356,5.157174,1.726251,594327
1972-11-17,5.142283,5.142283,4.948703,5.107538,1.709637,1070293
1972-11-20,5.107538,5.152210,5.077756,5.097611,1.706315,506186
1972-11-21,5.097611,5.152210,5.087684,5.107538,1.709637,312274
1972-11-22,5.122429,5.181992,5.122429,5.162138,1.727914,289609
1972-11-24,5.162138,5.181992,5.102574,5.162138,1.727914,342494
