date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,8.041667,7.687500,7.770833,4.273053,747600
1980-03-18,0.000000,8.104167,7.562500,8.041667,4.421980,1204800
1980-03-19,0.000000,8.250000,8.062500,8.062500,4.433437,745200
1980-03-20,0.000000,8.166667,7.833333,7.875000,4.330336,430800
1980-03-21,0.000000,7.958333,7.729167,7.729167,4.250140,453000
1980-03-24,0.000000,7.687500,7.208333,7.270833,3.998113,810000
1980-03-25,0.000000,7.437500,7.000000,7.083333,3.895010,2117400
1980-03-26,0.000000,7.208333,6.937500,6.979167,3.837730,816600
1980-03-27,0.000000,6.895833,6.270833,6.833333,3.757537,1286400
1980-03-28,0.000000,7.333333,6.937500,7.208333,3.963746,837600
1980-03-31,0.000000,7.354167,7.083333,7.250000,3.986656,399600
1980-04-01,0.000000,7.312500,7.062500,7.145833,3.929379,631200
1980-04-02,0.000000,7.312500,7.166667,7.250000,3.986656,486000
1980-04-03,0.000000,7.312500,7.145833,7.166667,3.940832,483600
1980-04-07,0.000000,7.125000,7.000000,7.000000,3.849186,315000
1980-04-08,0.000000,7.208333,6.958333,7.166667,3.940832,348000
1980-04-09,0.000000,7.395833,7.166667,7.375000,4.055395,824400
1980-04-10,0.000000,7.437500,7.312500,7.437500,4.089758,516000
1980-04-11,0.000000,7.708333,7.479167,7.708333,4.238688,829200
1980-04-14,0.000000,7.791667,7.604167,7.791667,4.284510,594600
1980-04-15,0.000000,7.895833,7.666667,7.687500,4.227231,346200
1980-04-16,0.000000,7.729167,7.375000,7.395833,4.066849,456600
1980-04-17,0.000000,7.416667,7.250000,7.395833,4.066849,353400
1980-04-18,0.000000,7.520833,7.312500,7.395833,4.066849,268800
1980-04-21,0.000000,7.437500,7.166667,7.270833,3.998113,346800
1980-04-22,0.000000,7.958333,7.270833,7.958333,4.376156,852000
1980-04-23,0.000000,7.958333,7.729167,7.812500,4.295969,838800
1980-04-24,0.000000,7.833333,7.604167,7.750000,4.261599,589200
1980-04-25,0.000000,7.750000,7.541667,7.750000,4.261599,379800
1980-04-28,0.000000,8.000000,7.791667,7.833333,4.307421,469200
1980-04-29,0.000000,8.062500,7.875000,8.041667,4.421980,319800
1980-04-30,0.000000,8.041667,7.875000,7.958333,4.376156,215400
1980-05-01,0.000000,8.104167,7.854167,7.854167,4.318879,627000
1980-05-02,0.000000,7.875000,7.729167,7.729167,4.250140,1040400
1980-05-05,0.000000,7.770833,7.666667,7.666667,4.215776,316200
1980-05-06,0.000000,7.666667,7.500000,7.500000,4.124128,381000
