date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,0.593750,0.583333,0.583333,0.548547,9600
1980-03-18,0.000000,0.583333,0.567708,0.578125,0.543649,100800
1980-03-19,0.578125,0.578125,0.578125,0.578125,0.543649,0
1980-03-20,0.000000,0.572917,0.562500,0.567708,0.533853,45600
1980-03-21,0.000000,0.562500,0.562500,0.562500,0.528956,2400
1980-03-24,0.000000,0.562500,0.541667,0.541667,0.509365,175200
1980-03-25,0.000000,0.541667,0.520833,0.520833,0.489774,19200
1980-03-26,0.000000,0.515625,0.500000,0.500000,0.470183,36000
1980-03-27,0.000000,0.442708,0.437500,0.442708,0.416308,576000
1980-03-28,0.000000,0.479167,0.453125,0.479167,0.450592,40800
1980-03-31,0.000000,0.500000,0.463542,0.500000,0.470183,237600
1980-04-01,0.000000,0.500000,0.479167,0.489583,0.460387,86400
1980-04-02,0.489583,0.489583,0.489583,0.489583,0.460387,0
1980-04-03,0.000000,0.489583,0.484375,0.484375,0.455490,12000
1980-04-07,0.000000,0.484375,0.468750,0.473958,0.445694,62400
1980-04-08,0.000000,0.468750,0.463542,0.468750,0.440797,31200
1980-04-09,0.000000,0.468750,0.463542,0.463542,0.435899,38400
1980-04-10,0.000000,0.473958,0.468750,0.473958,0.445694,7200
1980-04-11,0.000000,0.489583,0.484375,0.484375,0.455490,48000
1980-04-14,0.000000,0.484375,0.484375,0.484375,0.455490,38400
1980-04-15,0.000000,0.484375,0.484375,0.484375,0.455490,9600
1980-04-16,0.000000,0.520833,0.494792,0.520833,0.489774,43200
1980-04-17,0.000000,0.510417,0.510417,0.510417,0.479979,2400
1980-04-18,0.000000,0.510417,0.500000,0.500000,0.470183,26400
1980-04-21,0.000000,0.505208,0.500000,0.505208,0.475080,62400
1980-04-22,0.000000,0.531250,0.510417,0.531250,0.499569,55200
1980-04-23,0.000000,0.562500,0.536458,0.562500,0.528956,38400
1980-04-24,0.000000,0.552083,0.536458,0.536458,0.504467,21600
1980-04-25,0.000000,0.531250,0.531250,0.531250,0.499569,14400
1980-04-28,0.000000,0.531250,0.526042,0.526042,0.494672,14400
1980-04-29,0.000000,0.526042,0.526042,0.526042,0.494672,9600
1980-04-30,0.000000,0.552083,0.520833,0.552083,0.519160,52800
1980-05-01,0.000000,0.557292,0.557292,0.557292,0.524058,7200
1980-05-02,0.000000,0.552083,0.546875,0.546875,0.514263,4800
1980-05-05,0.000000,0.546875,0.531250,0.546875,0.514263,48000
1980-05-06,0.000000,0.546875,0.546875,0.546875,0.514263,12000
1980-05-07,0.000000,0.552083,0.541667,0.552083,0.519160,38400
1980-05-08,0.000000,0.557292,0.536458,0.536458,0.504467,55200
1980-05-09,0.536458,0.536458,0.536458,0.536458,0.504467,0
1980-05-12,0.000000,0.536458,0.536458,0.536458,0.504467,2400
1980-05-13,0.000000,0.552083,0.536458,0.552083,0.519160,36000
1980-05-14,0.000000,0.552083,0.546875,0.546875,0.514263,33600
1980-05-15,0.000000,0.546875,0.546875,0.546875,0.514263,2400
1980-05-16,0.000000,0.552083,0.541667,0.552083,0.519160,24000
1980-05-19,0.000000,0.557292,0.557292,0.557292,0.524058,4800
1980-05-20,0.000000,0.557292,0.541667,0.541667,0.509365,24000
1980-05-21,0.000000,0.536458,0.531250,0.536458,0.504467,9600
1980-05-22,0.000000,0.526042,0.515625,0.520833,0.489774,64800
1980-05-23,0.000000,0.536458,0.510417,0.536458,0.504467,26400
1980-05-27,0.000000,0.531250,0.520833,0.520833,0.489774,31200
1980-05-28,0.000000,0.531250,0.510417,0.510417,0.479979,96000
1980-05-29,0.000000,0.520833,0.510417,0.520833,0.489774,112800
1980-05-30,0.000000,0.541667,0.520833,0.541667,0.509365,24000
1980-06-02,0.541667,0.541667,0.541667,0.541667,0.509365,0
1980-06-03,0.000000,0.541667,0.531250,0.541667,0.509365,45600
1980-06-04,0.000000,0.578125,0.526042,0.578125,0.543649,196800
1980-06-05,0.000000,0.583333,0.572917,0.572917,0.538752,38400
1980-06-06,0.000000,0.567708,0.562500,0.562500,0.528956,24000
1980-06-09,0.000000,0.578125,0.557292,0.562500,0.528956,62400
1980-06-10,0.000000,0.562500,0.552083,0.562500,0.528956,31200
1980-06-11,0.000000,0.552083,0.541667,0.552083,0.519160,31200
1980-06-12,0.000000,0.541667,0.541667,0.541667,0.509365,28800
1980-06-13,0.000000,0.546875,0.541667,0.546875,0.514263,28800
1980-06-16,0.000000,0.557292,0.541667,0.541667,0.509365,48000
1980-06-17,0.000000,0.562500,0.536458,0.557292,0.524058,38400
1980-06-18,0.000000,0.604167,0.562500,0.604167,0.568138,115200
1980-06-19,0.000000,0.614583,0.567708,0.567708,0.533853,69600
1980-06-20,0.000000,0.572917,0.546875,0.557292,0.524058,45600
1980-06-23,0.000000,0.578125,0.557292,0.578125,0.543649,40800
1980-06-24,0.000000,0.562500,0.562500,0.562500,0.528956,14400
1980-06-25,0.000000,0.578125,0.567708,0.572917,0.538752,40800
1980-06-26,0.000000,0.614583,0.578125,0.604167,0.568138,117600
1980-06-27,0.000000,0.598958,0.593750,0.593750,0.558342,33600
1980-06-30,0.000000,0.598958,0.583333,0.598958,0.563240,43200
1980-07-01,0.000000,0.604167,0.598958,0.598958,0.563240,38400
1980-07-02,0.000000,0.593750,0.593750,0.593750,0.558342,9600
1980-07-03,0.000000,0.598958,0.583333,0.588542,0.553445,43200
1980-07-07,0.000000,0.598958,0.593750,0.593750,0.558342,50400
1980-07-08,0.000000,0.614583,0.598958,0.598958,0.563240,43200
1980-07-09,0.000000,0.609375,0.604167,0.604167,0.568138,14400
1980-07-10,0.000000,0.635417,0.604167,0.635417,0.597525,122400
1980-07-11,0.000000,0.661458,0.640625,0.661458,0.622013,124800
1980-07-14,0.000000,0.682292,0.666667,0.682292,0.641604,50400
1980-07-15,0.000000,0.682292,0.656250,0.656250,0.617115,115200
1980-07-16,0.000000,0.682292,0.661458,0.666667,0.626911,496800
1980-07-17,0.000000,0.687500,0.666667,0.682292,0.641604,225600
1980-07-18,0.000000,0.697917,0.677083,0.692708,0.651399,163200
1980-07-21,0.000000,0.692708,0.677083,0.677083,0.636706,199200
1980-07-22,0.000000,0.687500,0.656250,0.661458,0.622013,120000
1980-07-23,0.000000,0.666667,0.583333,0.614583,0.577933,300000
1980-07-24,0.000000,0.708333,0.630208,0.708333,0.666092,350400
1980-07-25,0.000000,0.802083,0.708333,0.765625,0.719968,580800
