date,open,high,low,close,adj-close,volume
2002-07-01,5.000000,5.000000,5.000000,5.000000,4.109070,3900
2002-07-02,5.166667,5.500000,5.000000,5.043333,4.144681,21000
2002-07-03,4.666667,5.333333,4.666667,5.000000,4.109070,30600
2002-07-05,5.000000,5.000000,5.000000,5.000000,4.109070,1500
2002-07-08,4.666667,4.666667,4.666667,4.666667,3.835132,900
2002-07-09,4.666667,5.166667,4.666667,5.166667,4.246039,6900
2002-07-10,4.583333,5.166667,4.583333,5.166667,4.246039,1500
2002-07-11,5.166667,5.166667,5.166667,5.166667,4.246039,0
2002-07-12,5.000000,5.000000,5.000000,5.000000,4.109070,300
2002-07-15,4.916667,4.916667,4.166667,4.250000,3.492711,128100
2002-07-16,4.250000,4.250000,4.166667,4.166667,3.424225,17700
2002-07-17,4.166667,4.166667,4.083333,4.166667,3.424225,7200
2002-07-18,4.100000,4.100000,3.916667,3.916667,3.218773,4200
2002-07-19,3.866667,3.866667,3.350000,3.500000,2.876350,32100
2002-07-22,3.500000,3.500000,3.333333,3.400000,2.794168,13800
2002-07-23,3.400000,3.400000,3.400000,3.400000,2.794168,300
2002-07-24,3.400000,3.500000,3.400000,3.500000,2.876350,6600
2002-07-25,3.500000,3.500000,3.383333,3.383333,2.780470,3900
2002-07-26,3.383333,3.383333,3.383333,3.383333,2.780470,0
2002-07-29,3.500000,3.700000,3.483333,3.700000,3.040712,12300
2002-07-30,3.750000,3.950000,3.750000,3.833333,3.150288,26700
2002-07-31,3.966667,4.000000,3.916667,4.000000,3.287256,15000
2002-08-01,3.933333,3.966667,3.933333,3.933333,3.232468,12900
2002-08-02,3.933333,3.933333,3.933333,3.933333,3.232468,0
2002-08-05,3.966667,4.000000,3.950000,3.950000,3.246166,85800
2002-08-06,4.000000,4.000000,4.000000,4.000000,3.287256,30000
2002-08-07,3.993333,4.016667,3.983333,4.016667,3.300953,13200
2002-08-08,4.033333,4.033333,4.016667,4.033333,3.314648,36900
2002-08-09,4.050000,4.050000,4.050000,4.050000,3.328347,10200
2002-08-12,4.050000,4.050000,4.033333,4.050000,3.328347,73200
2002-08-13,4.066667,4.066667,4.033333,4.066667,3.342043,11700
2002-08-14,4.050000,4.066667,4.050000,4.066667,3.342043,11100
2002-08-15,4.050000,4.050000,4.033333,4.033333,3.314648,2100
2002-08-16,4.000000,4.050000,4.000000,4.050000,3.328347,25800
2002-08-19,4.050000,4.050000,3.883333,3.883333,3.191378,26100
2002-08-20,3.866667,3.866667,3.866667,3.866667,3.177680,300
2002-08-21,3.966667,4.000000,3.916667,3.916667,3.218773,49200
2002-08-22,3.916667,3.916667,3.666667,3.666667,3.013319,106500
2002-08-23,3.666667,3.700000,3.666667,3.700000,3.040712,11100
2002-08-26,3.666667,3.666667,3.616667,3.623333,2.977706,35700
2002-08-27,3.616667,3.666667,3.503333,3.503333,2.879088,71700
2002-08-28,3.500000,3.500000,3.333333,3.366667,2.766774,74100
2002-08-29,3.400000,3.400000,3.366667,3.400000,2.794168,25500
2002-08-30,3.433333,3.433333,3.333333,3.333333,2.739380,12600
2002-09-03,3.316667,3.333333,3.100000,3.300000,2.711986,24000
2002-09-04,3.116667,3.166667,2.966667,3.100000,2.547624,267300
2002-09-05,3.100000,3.100000,3.100000,3.100000,2.547624,9300
2002-09-06,3.100000,3.233333,3.100000,3.233333,2.657198,91200
2002-09-09,3.250000,3.300000,3.233333,3.266667,2.684592,78000
2002-09-10,3.300000,3.316667,3.273333,3.300000,2.711986,108600
2002-09-11,3.333333,3.350000,3.300000,3.350000,2.753077,7200
2002-09-12,3.366667,3.366667,3.300000,3.300000,2.711986,12000
2002-09-13,3.300000,3.313333,3.300000,3.313333,2.722944,8400
2002-09-16,3.313333,3.333333,3.283333,3.333333,2.739380,30900
2002-09-17,3.250000,3.300000,3.250000,3.300000,2.711986,14400
2002-09-18,3.290000,3.290000,3.290000,3.290000,2.703768,4500
2002-09-19,3.266667,3.266667,3.266667,3.266667,2.684592,18600
2002-09-20,3.216667,3.216667,3.133333,3.133333,2.575017,8100
2002-09-23,3.250000,3.250000,3.233333,3.233333,2.657198,3600
2002-09-24,3.133333,3.133333,3.133333,3.133333,2.575017,6000
2002-09-25,3.200000,3.233333,3.166667,3.200000,2.629805,21000
2002-09-26,3.233333,3.233333,3.233333,3.233333,2.657198,3000
2002-09-27,3.200000,3.200000,3.100000,3.163333,2.599670,18600
2002-09-30,3.100000,3.116667,3.100000,3.116667,2.561320,9300
2002-10-01,3.166667,3.166667,3.166667,3.166667,2.602411,6000
