date,open,high,low,close,adj-close,volume
1981-12-31,7.886802,7.905625,7.867979,7.886802,2.552603,33868
1982-01-04,7.867979,7.886802,7.849156,7.849156,2.540418,65080
1982-01-05,7.867979,7.886802,7.849156,7.849156,2.540418,318096
1982-01-06,7.660927,7.811510,7.491521,7.585635,2.455129,369231
1982-01-07,7.397406,7.453875,7.322115,7.453875,2.412484,151411
1982-01-08,7.604458,7.755042,7.453875,7.717396,2.497775,305479
1982-01-11,7.303292,7.679750,6.908010,6.908010,2.235813,687327
1982-01-12,6.851542,6.926833,6.757427,6.757427,2.187075,238406
1982-01-13,6.569198,6.700958,6.437438,6.437438,2.083509,478141
1982-01-14,6.512729,6.550375,6.475083,6.475083,2.095694,130160
1982-01-15,6.588021,6.663313,6.512729,6.663313,2.156616,564471
1982-01-18,6.569198,6.606844,6.512729,6.531552,2.113970,813503
1982-01-19,6.550375,6.588021,6.493906,6.550375,2.120062,345324
1982-01-20,6.644490,6.757427,6.531552,6.719781,2.174891,763033
1982-01-21,6.870365,6.945656,6.776250,6.926833,2.241904,56447
1982-01-22,7.039771,7.115063,6.964479,7.115063,2.302826,82346
1982-01-25,7.265646,7.303292,7.228000,7.265646,2.351563,70393
1982-01-26,7.322115,7.378583,7.265646,7.322115,2.369840,292861
1982-01-27,7.322115,7.322115,7.303292,7.322115,2.369840,95628
1982-01-28,7.322115,7.340938,7.303292,7.340938,2.375933,67072
1982-01-29,7.397406,7.453875,7.322115,7.397406,2.394208,115551
1982-02-01,7.453875,7.529167,7.378583,7.453875,2.412484,320753
1982-02-02,7.491521,7.566813,7.416229,7.566813,2.449036,79690
1982-02-03,7.698573,7.980917,7.416229,7.491521,2.424668,929718
1982-02-04,7.491521,7.604458,7.378583,7.435052,2.406392,195241
1982-02-05,7.491521,7.566813,7.397406,7.529167,2.436852,132817
1982-02-08,7.435052,7.529167,7.322115,7.322115,2.369840,71057
1982-02-09,7.228000,7.303292,7.133885,7.171531,2.321102,156724
1982-02-10,7.020948,7.115063,6.926833,6.926833,2.241904,39181
1982-02-11,6.889188,6.926833,6.851542,6.908010,2.235813,61096
1982-02-12,6.870365,6.908010,6.813896,6.813896,2.205351,51134
1982-02-16,6.870365,6.964479,6.776250,6.964479,2.254089,71057
1982-02-17,7.039771,7.058594,7.002125,7.002125,2.266273,35196
1982-02-18,7.058594,7.133885,6.983302,7.115063,2.302826,161372
1982-02-19,7.096240,7.115063,7.077417,7.096240,2.296734,94300
1982-02-22,7.039771,7.152708,6.926833,6.926833,2.241904,146763
1982-02-23,6.851542,6.889188,6.813896,6.832719,2.233292,71721
1982-02-24,6.870365,6.908010,6.832719,6.851542,2.239444,67737
1982-02-25,6.908010,6.926833,6.870365,6.889188,2.251749,71057
1982-02-26,6.889188,6.889188,6.889188,6.889188,2.251749,4649
1982-03-01,6.889188,6.889188,6.889188,6.889188,2.251749,17930
1982-03-02,6.908010,6.926833,6.889188,6.889188,2.251749,19258
1982-03-03,6.945656,7.002125,6.889188,6.945656,2.270205,108910
1982-03-04,6.945656,6.964479,6.926833,6.945656,2.270205,182623
1982-03-05,6.945656,6.964479,6.926833,6.926833,2.264053,102269
1982-03-08,6.813896,6.964479,6.663313,6.663313,2.177922,222468
1982-03-09,6.418615,6.569198,6.249208,6.437438,2.104093,230437
1982-03-10,6.475083,6.512729,6.437438,6.475083,2.116398,183287
1982-03-11,6.362146,6.512729,6.192740,6.192740,2.024112,389817
1982-03-12,6.004510,6.098625,5.910396,5.985688,1.956437,312120
1982-03-15,5.985688,6.004510,5.948042,5.985688,1.956437,303486
1982-03-16,5.985688,6.004510,5.966865,5.985688,1.956437,309463
