date,open,high,low,close,adj-close,volume
1982-06-02,4.805556,4.875000,4.736111,4.763889,1.464547,1081800
1982-06-03,4.736111,4.763889,4.694444,4.694444,1.443198,672300
1982-06-04,4.638889,4.680556,4.583333,4.597222,1.413309,828900
1982-06-07,4.638889,4.694444,4.583333,4.666667,1.434658,287100
1982-06-08,4.638889,4.680556,4.597222,4.597222,1.413309,330300
1982-06-09,4.611111,4.638889,4.583333,4.597222,1.413309,841500
1982-06-10,4.597222,4.611111,4.583333,4.597222,1.413309,591300
1982-06-11,4.638889,4.680556,4.583333,4.625000,1.421849,1161000
1982-06-14,4.611111,4.625000,4.583333,4.583333,1.409039,498600
1982-06-15,4.611111,4.638889,4.583333,4.611111,1.417579,666900
1982-06-16,4.611111,4.638889,4.583333,4.611111,1.417579,239400
1982-06-17,4.555556,4.611111,4.486111,4.513889,1.387689,937800
1982-06-18,4.513889,4.555556,4.472222,4.513889,1.387689,1577700
1982-06-21,4.541667,4.569444,4.513889,4.569444,1.404770,1314000
1982-06-22,4.638889,4.722222,4.555556,4.722222,1.451737,702000
1982-06-23,4.875000,5.000000,4.736111,5.000000,1.537134,765000
1982-06-24,4.916667,4.972222,4.861111,4.916667,1.511514,720900
1982-06-25,4.930556,4.944444,4.902778,4.930556,1.515784,189000
1982-06-28,4.958333,5.000000,4.916667,4.944444,1.520056,223200
1982-06-29,5.013889,5.055556,4.958333,5.027778,1.545673,670500
1982-06-30,5.055556,5.069444,5.027778,5.055556,1.554213,1296000
1982-07-01,5.055556,5.083333,5.013889,5.055556,1.554213,903600
1982-07-02,5.111111,5.180556,5.027778,5.166667,1.588371,378900
1982-07-06,5.166667,5.208333,5.125000,5.166667,1.588371,527400
1982-07-07,5.111111,5.152778,5.055556,5.125000,1.575562,566100
1982-07-08,5.041667,5.138889,4.944444,5.041667,1.549943,641700
1982-07-09,5.013889,5.055556,4.958333,5.000000,1.537134,361800
1982-07-12,4.972222,5.000000,4.944444,4.986111,1.532864,921600
1982-07-13,4.986111,5.027778,4.944444,5.000000,1.537134,1000800
1982-07-14,4.958333,5.000000,4.944444,4.986111,1.532864,921600
1982-07-15,4.930556,5.027778,4.819444,4.819444,1.481626,684000
1982-07-16,4.819444,4.888889,4.750000,4.805556,1.477357,2254500
1982-07-19,4.777778,4.833333,4.722222,4.750000,1.460277,1497600
1982-07-20,4.819444,4.888889,4.750000,4.875000,1.498705,427500
1982-07-21,4.944444,5.000000,4.875000,4.930556,1.515784,549000
1982-07-22,4.958333,5.000000,4.902778,4.972222,1.528595,973800
1982-07-23,5.097222,5.166667,5.027778,5.125000,1.575562,341100
1982-07-26,5.055556,5.069444,5.027778,5.041667,1.549943,411300
1982-07-27,5.055556,5.069444,5.027778,5.041667,1.549943,1046700
1982-07-28,5.041667,5.069444,5.013889,5.027778,1.545673,781200
1982-07-29,5.041667,5.055556,5.013889,5.027778,1.545673,727200
1982-07-30,5.013889,5.055556,4.972222,5.041667,1.549943,1313100
1982-08-02,5.027778,5.097222,4.958333,5.069444,1.582903,1115100
1982-08-03,5.069444,5.097222,5.041667,5.055556,1.578565,1321200
1982-08-04,5.000000,5.027778,4.958333,4.986111,1.556882,638100
1982-08-05,4.875000,4.972222,4.763889,4.819444,1.504841,819900
1982-08-06,4.847222,4.875000,4.819444,4.833333,1.509179,691200
1982-08-09,4.833333,4.861111,4.805556,4.861111,1.517851,567000
1982-08-10,4.861111,4.888889,4.833333,4.875000,1.522188,463500
1982-08-11,4.888889,4.916667,4.861111,4.902778,1.530862,248400
1982-08-12,4.888889,4.916667,4.861111,4.888889,1.526525,338400
1982-08-13,4.958333,5.027778,4.875000,5.027778,1.569892,688500
1982-08-16,5.055556,5.083333,5.013889,5.055556,1.578565,940500
1982-08-17,5.166667,5.250000,5.069444,5.250000,1.639280,1505700
1982-08-18,5.333333,5.416667,5.250000,5.263889,1.643616,2105100
1982-08-19,5.319444,5.361111,5.277778,5.305556,1.656627,1035000
1982-08-20,5.319444,5.347222,5.291667,5.347222,1.669636,1650600
1982-08-23,5.500000,5.666667,5.333333,5.583333,1.743361,1472400
1982-08-24,5.652778,5.708333,5.597222,5.625000,1.756371,1353600
1982-08-25,5.736111,5.847222,5.611111,5.847222,1.825758,688500
1982-08-26,5.958333,6.013889,5.902778,5.916667,1.847443,2550600
1982-08-27,5.888889,5.930556,5.833333,5.847222,1.825758,792000
1982-08-30,5.819444,5.888889,5.736111,5.847222,1.825758,1009800
1982-08-31,5.958333,6.055556,5.861111,6.027778,1.882138,932400
1982-09-01,6.041667,6.097222,5.972222,6.069444,1.895146,919800
1982-09-02,6.125000,6.222222,6.027778,6.166667,1.925503,1198800
1982-09-03,6.152778,6.236111,6.055556,6.111111,1.908156,1855800
1982-09-07,5.930556,6.000000,5.847222,5.916667,1.847443,1188000
1982-09-08,5.861111,5.902778,5.805556,5.875000,1.834432,1027800
1982-09-09,5.902778,5.958333,5.833333,5.861111,1.830096,1611900
1982-09-10,5.847222,5.875000,5.805556,5.861111,1.830096,1086300
1982-09-13,5.902778,5.986111,5.805556,5.972222,1.864789,1084500
1982-09-14,6.097222,6.138889,6.055556,6.125000,1.912494,1207800
1982-09-15,6.069444,6.111111,6.013889,6.097222,1.903820,1224900
1982-09-16,6.027778,6.111111,5.944444,5.944444,1.856115,1817100
1982-09-17,5.930556,5.972222,5.875000,5.875000,1.834432,1534500
1982-09-20,5.888889,5.958333,5.819444,5.944444,1.856115,963900
1982-09-21,6.055556,6.111111,5.986111,6.111111,1.908156,1336500
1982-09-22,6.152778,6.222222,6.069444,6.069444,1.895146,2179800
1982-09-23,6.000000,6.041667,5.958333,6.027778,1.882138,893700
1982-09-24,6.027778,6.055556,6.000000,6.000000,1.873461,669600
1982-09-27,6.027778,6.069444,5.986111,6.055556,1.890810,340200
1982-09-28,6.180556,6.236111,6.111111,6.166667,1.925503,1337400
1982-09-29,6.277778,6.388889,6.152778,6.250000,1.951524,1468800
1982-09-30,6.194444,6.236111,6.152778,6.166667,1.925503,897300
1982-10-01,6.180556,6.222222,6.138889,6.222222,1.942849,738000
1982-10-04,6.194444,6.222222,6.166667,6.180556,1.929841,866700
1982-10-05,6.208333,6.222222,6.180556,6.194444,1.934176,413100
1982-10-06,6.222222,6.263889,6.180556,6.236111,1.947187,906300
1982-10-07,6.375000,6.444444,6.305556,6.375000,1.990554,1595700
1982-10-08,6.375000,6.402778,6.333333,6.375000,1.990554,933300
1982-10-11,6.263889,6.291667,6.236111,6.263889,1.955861,1193400
1982-10-12,6.138889,6.222222,6.055556,6.180556,1.929841,3811500
1982-10-13,6.291667,6.375000,6.194444,6.333333,1.977544,1512000
1982-10-14,6.388889,6.430556,6.333333,6.347222,1.981880,1131300
1982-10-15,6.458333,6.555556,6.347222,6.527778,2.038257,877500
1982-10-18,6.555556,6.805556,6.486111,6.805556,2.124992,944100
1982-10-19,6.833333,6.861111,6.791667,6.805556,2.124992,534600
1982-10-20,6.777778,6.861111,6.694444,6.750000,2.107645,730800
1982-10-21,6.916667,7.055556,6.777778,7.027778,2.194380,985500
1982-10-22,7.138889,7.222222,7.041667,7.152778,2.233410,1147500
1982-10-25,7.013889,7.083333,6.930556,6.944444,2.168361,1245600
1982-10-26,6.666667,6.791667,6.527778,6.680556,2.085961,2535300
1982-10-27,6.347222,6.444444,6.236111,6.402778,1.999228,4216500
1982-10-28,6.388889,6.513889,6.263889,6.291667,1.964533,1994400
1982-10-29,6.263889,6.319444,6.208333,6.236111,1.971559,2260800
1982-11-01,6.180556,6.236111,6.125000,6.236111,1.971559,1285200
1982-11-02,6.388889,6.486111,6.277778,6.402778,2.024251,1403100
1982-11-03,6.625000,6.722222,6.513889,6.708333,2.120853,2160900
1982-11-04,6.763889,6.902778,6.611111,6.638889,2.098899,1599300
1982-11-05,6.541667,6.583333,6.500000,6.555556,2.072553,2504700
1982-11-08,6.541667,6.583333,6.500000,6.513889,2.059380,641700
1982-11-09,6.597222,6.638889,6.541667,6.625000,2.094507,1701900
1982-11-10,6.666667,6.722222,6.611111,6.638889,2.098899,1550700
1982-11-11,6.611111,6.652778,6.555556,6.583333,2.081335,1210500
1982-11-12,6.583333,6.652778,6.500000,6.541667,2.068161,1927800
1982-11-15,6.430556,6.486111,6.361111,6.388889,2.019861,561600
1982-11-16,6.152778,6.194444,6.111111,6.180556,1.953996,1605600
1982-11-17,6.222222,6.263889,6.166667,6.194444,1.958387,2406600
1982-11-18,6.208333,6.222222,6.180556,6.208333,1.962777,1740600
1982-11-19,6.194444,6.222222,6.166667,6.194444,1.958387,1028700
1982-11-22,6.208333,6.236111,6.180556,6.180556,1.953996,839700
1982-11-23,6.236111,6.305556,6.166667,6.277778,1.984732,887400
1982-11-24,6.388889,6.500000,6.263889,6.458333,2.041815,616500
1982-11-26,6.569444,6.638889,6.500000,6.611111,2.090117,929700
1982-11-29,6.513889,6.597222,6.416667,6.472222,2.046207,371700
1982-11-30,6.541667,6.583333,6.486111,6.583333,2.081335,540000
