date,open,high,low,close,adj-close,volume
1992-03-17,1.572917,1.572917,1.541667,1.541667,1.370205,156000
1992-03-18,1.562500,1.604167,1.552083,1.604167,1.425753,618000
1992-03-19,1.625000,1.645833,1.604167,1.635417,1.453528,984000
1992-03-20,1.614583,1.656250,1.614583,1.656250,1.472044,260400
1992-03-23,1.666667,1.697917,1.666667,1.666667,1.481302,658800
1992-03-24,1.666667,1.739583,1.666667,1.708333,1.518335,230400
1992-03-25,1.697917,1.729167,1.697917,1.718750,1.527593,388800
1992-03-26,1.708333,1.718750,1.708333,1.708333,1.518335,116400
1992-03-27,1.708333,1.708333,1.697917,1.697917,1.509077,219600
1992-03-30,1.697917,1.708333,1.687500,1.687500,1.499818,128400
1992-03-31,1.687500,1.687500,1.677083,1.687500,1.499818,81600
1992-04-01,1.687500,1.697917,1.666667,1.687500,1.499818,865200
1992-04-02,1.697917,1.697917,1.677083,1.677083,1.490560,146400
1992-04-03,1.697917,1.697917,1.666667,1.666667,1.481302,135600
1992-04-06,1.687500,1.687500,1.635417,1.666667,1.481302,92400
1992-04-07,1.666667,1.687500,1.666667,1.666667,1.481302,198000
1992-04-08,1.645833,1.645833,1.593750,1.614583,1.435011,49200
1992-04-09,1.625000,1.708333,1.604167,1.677083,1.490560,142800
1992-04-10,1.697917,1.697917,1.687500,1.687500,1.499818,67200
1992-04-13,1.697917,1.854167,1.697917,1.854167,1.647949,316800
1992-04-14,1.833333,1.947917,1.812500,1.895833,1.684981,472800
1992-04-15,1.906250,1.906250,1.864583,1.875000,1.666465,226800
1992-04-16,1.854167,1.854167,1.791667,1.822917,1.620175,55200
1992-04-20,1.833333,1.833333,1.666667,1.729167,1.536851,132000
1992-04-21,1.718750,1.781250,1.718750,1.781250,1.583141,224400
1992-04-22,1.760417,1.802083,1.750000,1.791667,1.592400,70800
1992-04-23,1.791667,1.802083,1.770833,1.802083,1.601658,230400
1992-04-24,1.802083,1.843750,1.802083,1.843750,1.638690,72000
1992-04-27,1.822917,1.822917,1.822917,1.822917,1.620175,1200
1992-04-28,1.822917,1.822917,1.812500,1.822917,1.620175,159600
1992-04-29,1.822917,1.833333,1.812500,1.833333,1.629432,142800
1992-04-30,1.833333,1.916667,1.833333,1.895833,1.684981,414000
1992-05-01,1.895833,1.947917,1.875000,1.947917,1.731272,484800
1992-05-04,1.937500,1.947917,1.916667,1.947917,1.731272,159600
1992-05-05,1.947917,1.947917,1.947917,1.947917,1.731272,0
