date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,2.128944,2.063100,2.063100,1.685801,151495
1980-03-18,0.000000,2.085048,2.019204,2.019204,1.649932,436261
1980-03-19,0.000000,2.172840,2.106996,2.106996,1.721669,234647
1980-03-20,0.000000,2.128944,2.063100,2.063100,1.685801,60370
1980-03-21,0.000000,2.128944,2.063100,2.063100,1.685801,53536
1980-03-24,0.000000,1.997257,1.931413,1.931413,1.578197,312103
1980-03-25,0.000000,2.041152,1.975309,1.975309,1.614065,170859
1980-03-26,0.000000,2.041152,1.975309,1.975309,1.614065,195919
1980-03-27,0.000000,1.821674,1.755830,1.755830,1.434724,299573
1980-03-28,0.000000,2.063100,1.997257,1.997257,1.631999,265402
1980-03-31,0.000000,2.172840,2.106996,2.106996,1.721669,345136
1980-04-01,0.000000,2.150892,2.085048,2.085048,1.703735,242620
1980-04-02,0.000000,2.150892,2.085048,2.085048,1.703735,61509
1980-04-03,0.000000,2.128944,2.063100,2.063100,1.685801,130992
1980-04-07,0.000000,2.019204,1.953361,1.953361,1.596131,137827
1980-04-08,0.000000,2.041152,1.975309,1.975309,1.614065,97959
1980-04-09,0.000000,2.128944,2.063100,2.063100,1.685801,205031
1980-04-10,0.000000,2.216735,2.150892,2.150892,1.757538,214144
1980-04-11,0.000000,2.216735,2.150892,2.150892,1.757538,264263
1980-04-14,0.000000,2.128944,2.063100,2.063100,1.685801,130992
1980-04-15,0.000000,2.106996,2.041152,2.041152,1.667867,123019
1980-04-16,0.000000,2.128944,2.063100,2.063100,1.685801,64927
1980-04-17,0.000000,2.106996,2.041152,2.041152,1.667867,103655
1980-04-18,0.000000,2.085048,2.019204,2.019204,1.649932,125297
1980-04-21,0.000000,2.041152,1.975309,1.975309,1.614065,135548
1980-04-22,0.000000,2.150892,2.085048,2.085048,1.703735,181111
1980-04-23,0.000000,2.172840,2.106996,2.106996,1.721669,174277
1980-04-24,0.000000,2.260631,2.194787,2.194787,1.793404,96820
1980-04-25,0.000000,2.216735,2.150892,2.150892,1.757538,27338
