date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,2.297849,2.230721,2.230721,0.908619,885992
1980-03-18,0.000000,2.272031,2.230721,2.261703,0.921238,1423396
1980-03-19,0.000000,2.272031,2.241048,2.241048,0.912826,1762300
1980-03-20,0.000000,2.230721,2.189411,2.189411,0.891792,624551
1980-03-21,0.000000,2.184248,2.142938,2.142938,0.872863,631814
1980-03-24,0.000000,2.137774,2.065482,2.065482,0.841313,597923
1980-03-25,0.000000,2.055155,2.024173,2.034500,0.828694,682649
1980-03-26,0.000000,2.065482,2.044828,2.049991,0.835004,220288
1980-03-27,0.000000,2.055155,1.982863,2.003518,0.816074,583399
1980-03-28,0.000000,2.148102,2.024173,2.148102,0.874966,1314463
1980-03-31,0.000000,2.148102,2.117119,2.142938,0.872863,830315
1980-04-01,0.000000,2.142938,2.065482,2.065482,0.841313,1803453
1980-04-02,0.000000,2.106792,2.086137,2.101628,0.856037,314696
1980-04-03,0.000000,2.106792,2.070646,2.070646,0.843416,152507
1980-04-07,0.000000,2.075810,2.049991,2.055155,0.837107,1730831
1980-04-08,0.000000,2.091301,2.055155,2.065482,0.841313,300172
1980-04-09,0.000000,2.070646,2.055155,2.055155,0.837107,660863
1980-04-10,0.000000,2.065482,2.044828,2.049991,0.835004,346166
1980-04-11,0.000000,2.060319,2.024173,2.024173,0.824487,818211
1980-04-14,0.000000,2.034500,2.019009,2.024173,0.824487,125879
1980-04-15,0.000000,2.039664,2.034500,2.034500,0.828694,394581
1980-04-16,0.000000,2.065482,2.024173,2.034500,0.828694,1089334
1980-04-17,0.000000,2.044828,2.013845,2.034500,0.828694,329221
1980-04-18,0.000000,2.044828,2.029336,2.029336,0.826590,893254
1980-04-21,0.000000,2.039664,2.003518,2.008682,0.818177,167031
1980-04-22,0.000000,2.034500,1.988027,1.988027,0.809764,1050602
1980-04-23,0.000000,1.998354,1.972536,1.972536,0.803454,1086913
1980-04-24,0.000000,2.003518,1.962208,1.998354,0.813970,397002
1980-04-25,0.000000,1.988027,1.967372,1.967372,0.801352,259019
1980-04-28,0.000000,1.988027,1.957045,1.957045,0.797145,728643
1980-04-29,0.000000,1.967372,1.946717,1.946717,0.792938,162190
1980-04-30,0.000000,1.957045,1.936390,1.941553,0.790835,367953
1980-05-01,0.000000,1.982863,1.946717,1.982863,0.807661,576137
1980-05-02,0.000000,1.977699,1.962208,1.967372,0.801352,493831
1980-05-05,0.000000,1.957045,1.931226,1.931226,0.786628,174293
1980-05-06,0.000000,1.957045,1.936390,1.941553,0.790835,409105
1980-05-07,0.000000,1.993191,1.936390,1.993191,0.811868,1016712
1980-05-08,0.000000,2.029336,1.988027,1.988027,0.809764,2302126
1980-05-09,0.000000,1.982863,1.946717,1.951881,0.795041,648759
1980-05-12,0.000000,1.920899,1.895080,1.915735,0.780318,624551
1980-05-13,0.000000,1.941553,1.915735,1.941553,0.790835,280806
1980-05-14,0.000000,1.982863,1.951881,1.967372,0.801352,406685
1980-05-15,0.000000,2.013845,1.967372,2.003518,0.816074,283227
1980-05-16,0.000000,2.013845,1.993191,2.008682,0.818177,409105
1980-05-19,0.000000,2.034500,2.003518,2.019009,0.822384,522880
1980-05-20,0.000000,2.013845,1.993191,1.993191,0.811868,159769
1980-05-21,0.000000,2.024173,1.998354,2.013845,0.820280,426051
1980-05-22,0.000000,2.117119,2.013845,2.117119,0.862346,1077230
1980-05-23,0.000000,2.266867,2.127447,2.235885,0.910722,1251524
1980-05-27,0.000000,2.194575,2.158429,2.158429,0.879173,593082
1980-05-28,0.000000,2.168757,2.137774,2.148102,0.874966,503514
1980-05-29,0.000000,2.204902,2.168757,2.173920,0.885482,392160
1980-05-30,0.000000,2.220394,2.158429,2.210066,0.900205,285648
1980-06-02,0.000000,2.204902,2.148102,2.179084,0.887586,927144
1980-06-03,0.000000,2.179084,2.137774,2.148102,0.874966,1135328
1980-06-04,0.000000,2.163593,2.148102,2.153265,0.877069,118616
1980-06-05,0.000000,2.184248,2.158429,2.168757,0.883379,256599
1980-06-06,0.000000,2.194575,2.173920,2.173920,0.885482,106513
1980-06-09,0.000000,2.184248,2.158429,2.158429,0.879173,232391
1980-06-10,0.000000,2.204902,2.173920,2.194575,0.893896,278385
1980-06-11,0.000000,2.241048,2.210066,2.225557,0.906515,641497
1980-06-12,0.000000,2.246212,2.220394,2.230721,0.908619,416368
1980-06-13,0.000000,2.251376,2.220394,2.220394,0.904412,154927
1980-06-16,0.000000,2.225557,2.210066,2.210066,0.900205,145245
1980-06-17,0.000000,2.225557,2.210066,2.225557,0.906515,150086
1980-06-18,0.000000,2.220394,2.163593,2.189411,0.891792,462362
1980-06-19,0.000000,2.246212,2.210066,2.210066,0.900205,1181322
1980-06-20,0.000000,2.215230,2.204902,2.204902,0.898102,125879
1980-06-23,0.000000,2.210066,2.194575,2.194575,0.893896,196080
1980-06-24,0.000000,2.251376,2.204902,2.251376,0.917032,251757
1980-06-25,0.000000,2.328831,2.251376,2.308177,0.940168,450258
1980-06-26,0.000000,2.406287,2.308177,2.385632,0.971717,617289
1980-06-27,0.000000,2.401123,2.375305,2.395960,0.975923,755272
1980-06-30,0.000000,2.406287,2.370141,2.375305,0.967511,597923
1980-07-01,0.000000,2.375305,2.354650,2.370141,0.965407,338904
1980-07-02,0.000000,2.370141,2.359814,2.364977,0.963304,154927
1980-07-03,0.000000,2.364977,2.333995,2.349486,0.956993,975559
1980-07-07,0.000000,2.359814,2.333995,2.344323,0.954891,1328987
1980-07-08,0.000000,2.333995,2.323668,2.333995,0.950684,370374
1980-07-09,0.000000,2.349486,2.323668,2.349486,0.956993,217867
1980-07-10,0.000000,2.344323,2.318504,2.318504,0.944374,680229
1980-07-11,0.000000,2.344323,2.308177,2.344323,0.954891,694753
1980-07-14,0.000000,2.395960,2.364977,2.390796,0.973821,370374
1980-07-15,0.000000,2.416614,2.390796,2.406287,0.980130,1711465
1980-07-16,0.000000,2.432106,2.395960,2.401123,0.978027,404264
1980-07-17,0.000000,2.421778,2.390796,2.411451,0.982234,341325
1980-07-18,0.000000,2.442433,2.426942,2.442433,0.994854,179135
1980-07-21,0.000000,2.457924,2.416614,2.416614,0.984337,205763
1980-07-22,0.000000,2.473415,2.426942,2.432106,0.990647,578557
1980-07-23,0.000000,2.468251,2.437269,2.452760,0.999059,220288
1980-07-24,0.000000,2.457924,2.437269,2.437269,0.992750,617289
1980-07-25,0.000000,2.447597,2.437269,2.442433,0.994854,597923
1980-07-28,0.000000,2.452760,2.437269,2.452760,0.999059,104092
1980-07-29,0.000000,2.519889,2.442433,2.514725,1.024300,418788
1980-07-30,0.000000,2.545707,2.509561,2.525052,1.028506,351008
1980-07-31,0.000000,2.540543,2.519889,2.540543,1.034815,576137
1980-08-01,0.000000,2.540543,2.530216,2.535380,1.032712,455099
1980-08-04,0.000000,2.550871,2.535380,2.550871,1.039023,706857
1980-08-05,0.000000,2.556034,2.540543,2.545707,1.036919,1401610
1980-08-06,0.000000,2.550871,2.535380,2.540543,1.034815,1285414
1980-08-07,0.000000,2.587017,2.550871,2.581853,1.051641,1476653
1980-08-08,0.000000,2.674800,2.633490,2.638654,1.074778,1031236
1980-08-11,0.000000,2.602508,2.576689,2.581853,1.051641,982821
1980-08-12,0.000000,2.587017,2.561198,2.561198,1.043229,324379
1980-08-13,0.000000,2.576689,2.556034,2.571526,1.047436,355849
1980-08-14,0.000000,2.571526,2.561198,2.571526,1.047436,583399
1980-08-15,0.000000,2.571526,2.561198,2.561198,1.043229,610027
1980-08-18,0.000000,2.571526,2.540543,2.540543,1.034815,728643
1980-08-19,0.000000,2.519889,2.494070,2.514725,1.024300,636655
1980-08-20,0.000000,2.494070,2.478579,2.488906,1.013783,278385
1980-08-21,0.000000,2.556034,2.509561,2.556034,1.041126,898095
1980-08-22,0.000000,2.571526,2.556034,2.561198,1.043229,447837
1980-08-25,0.000000,2.556034,2.514725,2.525052,1.028506,534984
1980-08-26,0.000000,2.540543,2.514725,2.514725,1.024300,624551
1980-08-27,0.000000,2.514725,2.504397,2.509561,1.022196,450258
1980-08-28,0.000000,2.514725,2.499234,2.499234,1.017989,641497
1980-08-29,0.000000,2.514725,2.499234,2.514725,1.024300,242074
1980-09-02,0.000000,2.540543,2.514725,2.535380,1.032712,150086
1980-09-03,0.000000,2.530216,2.514725,2.514725,1.024300,348587
1980-09-04,0.000000,2.530216,2.504397,2.504397,1.020092,605185
1980-09-05,0.000000,2.494070,2.457924,2.468251,1.005369,1060285
1980-09-08,0.000000,2.457924,2.411451,2.411451,0.982234,128299
1980-09-09,0.000000,2.406287,2.344323,2.406287,0.980130,922303
1980-09-10,0.000000,2.426942,2.395960,2.416614,0.984337,363111
1980-09-11,0.000000,2.426942,2.390796,2.390796,0.973821,137982
1980-09-12,0.000000,2.426942,2.385632,2.421778,0.986440,1384664
1980-09-15,0.000000,2.437269,2.416614,2.437269,0.992750,1019132
1980-09-16,0.000000,2.556034,2.447597,2.540543,1.034815,2406218
1980-09-17,0.000000,2.571526,2.530216,2.556034,1.041126,859363
1980-09-18,0.000000,2.643817,2.556034,2.643817,1.076881,1074809
1980-09-19,0.000000,2.747092,2.643817,2.741928,1.116844,639076
1980-09-22,0.000000,2.809056,2.757419,2.809056,1.144186,1730831
1980-09-23,0.000000,2.891675,2.814220,2.860693,1.165219,2563566
1980-09-24,0.000000,2.834875,2.778074,2.788401,1.135773,1549275
1980-09-25,0.000000,2.803892,2.695455,2.695455,1.097914,292910
1980-09-26,0.000000,2.664472,2.628326,2.648981,1.078984,450258
1980-09-29,0.000000,2.628326,2.540543,2.545707,1.036919,363111
1980-09-30,0.000000,2.592180,2.535380,2.576689,1.049538,1166798
1980-10-01,0.000000,2.617999,2.561198,2.612835,1.064261,946510
1980-10-02,0.000000,2.695455,2.617999,2.690291,1.095811,593082
1980-10-03,0.000000,2.685127,2.659309,2.664472,1.085294,1285414
1980-10-06,0.000000,2.736764,2.664472,2.736764,1.114740,1469390
1980-10-07,0.000000,2.798729,2.757419,2.767746,1.127360,1733251
1980-10-08,0.000000,2.834875,2.778074,2.819383,1.148393,735906
1980-10-09,0.000000,2.840038,2.767746,2.778074,1.131567,353428
1980-10-10,0.000000,2.788401,2.767746,2.778074,1.131567,229970
