date,open,high,low,close,adj-close,volume
1997-12-18,14.500000,16.125000,14.375000,15.000000,14.754486,1905200
1997-12-19,15.000000,15.625000,14.687500,15.500000,15.246302,275200
1997-12-22,15.500000,15.875000,15.000000,15.000000,14.754486,88300
1997-12-23,15.000000,15.812500,15.000000,15.500000,15.246302,74500
1997-12-24,16.000000,16.250000,16.000000,16.250000,15.984027,45400
1997-12-26,16.312500,17.000000,16.250000,17.000000,16.721752,45400
1997-12-29,16.750000,17.875000,16.750000,17.812500,17.520952,107100
1997-12-30,17.812500,18.062500,17.562500,17.937500,17.643906,49600
1997-12-31,18.000000,19.312500,17.812500,19.312500,18.996401,50800
1998-01-02,20.250000,20.250000,19.062500,20.062500,19.734125,209500
1998-01-05,20.500000,20.750000,18.250000,18.812500,18.504583,384300
1998-01-06,19.375000,19.875000,18.625000,19.375000,19.057877,195600
1998-01-07,19.437500,19.437500,18.375000,18.875000,18.566063,97700
1998-01-08,19.000000,19.187500,18.437500,18.437500,18.135723,61300
1998-01-09,18.687500,18.687500,17.500000,18.250000,17.951292,101700
1998-01-12,18.250000,18.250000,17.250000,17.812500,17.520952,138500
1998-01-13,19.375000,20.000000,19.000000,19.875000,19.549694,297400
1998-01-14,20.312500,20.750000,20.000000,20.625000,20.287418,135600
1998-01-15,20.750000,22.500000,20.750000,21.125000,20.779234,219900
1998-01-16,21.375000,21.562500,21.125000,21.375000,21.025143,47300
1998-01-20,21.812500,22.500000,21.812500,21.937500,21.578436,60600
1998-01-21,21.937500,23.375000,21.937500,22.250000,21.885822,89700
1998-01-22,22.375000,22.750000,22.000000,22.062500,21.701389,29500
1998-01-23,22.250000,22.250000,21.125000,21.750000,21.394005,48100
1998-01-26,22.250000,22.437500,21.500000,21.875000,21.516958,40000
1998-01-27,22.000000,22.375000,21.812500,22.187500,21.824343,106600
1998-01-28,22.375000,23.250000,22.375000,23.000000,22.623547,44300
1998-01-29,23.125000,23.875000,23.000000,23.625000,23.238316,22200
