date,open,high,low,close,adj-close,volume
1980-03-17,0.000000,2.222222,2.194444,2.208333,0.487466,183600
1980-03-18,0.000000,2.250000,2.194444,2.236111,0.493597,73800
1980-03-19,0.000000,2.277778,2.236111,2.277778,0.502795,164700
1980-03-20,0.000000,2.333333,2.277778,2.333333,0.515058,87300
1980-03-21,0.000000,2.375000,2.361111,2.361111,0.521190,104400
1980-03-24,0.000000,2.375000,2.277778,2.277778,0.502795,129600
1980-03-25,0.000000,2.263889,2.236111,2.250000,0.496663,299700
1980-03-26,0.000000,2.291667,2.250000,2.277778,0.502795,114300
1980-03-27,0.000000,2.277778,2.250000,2.263889,0.499729,54000
1980-03-28,0.000000,2.250000,2.208333,2.250000,0.496663,144000
1980-03-31,0.000000,2.263889,2.236111,2.263889,0.499729,184500
1980-04-01,0.000000,2.333333,2.263889,2.333333,0.515058,120600
1980-04-02,0.000000,2.430556,2.361111,2.430556,0.536519,90900
1980-04-03,0.000000,2.541667,2.444444,2.541667,0.561046,25200
1980-04-07,0.000000,2.541667,2.527778,2.527778,0.557980,34200
1980-04-08,0.000000,2.541667,2.486111,2.541667,0.561046,68400
1980-04-09,0.000000,2.625000,2.541667,2.611111,0.576375,168300
1980-04-10,0.000000,2.750000,2.680556,2.680556,0.591704,183600
1980-04-11,0.000000,2.708333,2.666667,2.666667,0.588638,174600
1980-04-14,0.000000,2.680556,2.638889,2.666667,0.588638,351900
1980-04-15,0.000000,2.652778,2.583333,2.583333,0.570243,85500
1980-04-16,0.000000,2.777778,2.597222,2.722222,0.600902,323100
1980-04-17,0.000000,2.722222,2.666667,2.722222,0.600902,307800
1980-04-18,0.000000,2.750000,2.694444,2.708333,0.597835,48600
1980-04-21,0.000000,2.708333,2.666667,2.666667,0.588638,44100
1980-04-22,0.000000,2.680556,2.652778,2.680556,0.591704,216900
1980-04-23,0.000000,2.708333,2.666667,2.694444,0.594770,579600
1980-04-24,0.000000,2.694444,2.652778,2.666667,0.588638,518400
